Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Country,Source
Ip Man 4: The Finale,71.0,"['Action', 'Biography', 'Drama']",107.0,Not Rated,2019-12-20,12,2019,2010,Action,Hong Kong,IMDB
Star Wars: The Rise Of Skywalker,67.0,"['Action', 'Adventure', 'Fantasy']",142.0,PG-13,2019-12-20,12,2019,2010,Action,USA,IMDB
Bombshell,68.0,"['Biography', 'Drama']",109.0,R,2019-12-20,12,2019,2010,Biography,USA,IMDB
Black Christmas,32.0,"['Horror', 'Mystery', 'Thriller']",92.0,PG-13,2019-12-13,12,2019,2010,Horror,USA,IMDB
6 Underground,61.0,"['Action', 'Comedy', 'Thriller']",128.0,R,2019-12-13,12,2019,2010,Action,USA,IMDB
Jumanji: The Next Level,67.0,"['Action', 'Adventure', 'Comedy']",123.0,PG-13,2019-12-13,12,2019,2010,Action,USA,IMDB
Spies in Disguise,68.0,"['Animation', 'Adventure', 'Comedy']",102.0,PG,2019-12-25,12,2019,2010,Animation,USA,IMDB
The Courier,49.0,"['Action', 'Crime', 'Drama']",99.0,R,2019-11-22,11,2019,2010,Action,UK,IMDB
Richard Jewell,75.0,"['Biography', 'Crime', 'Drama']",131.0,R,2019-12-13,12,2019,2010,Biography,USA,IMDB
Radioflash,56.0,"['Action', 'Drama', 'Sci_Fi']",103.0,Not Rated,2019-11-15,11,2019,2010,Action,USA,IMDB
Queen & Slim,70.0,"['Crime', 'Drama', 'Romance']",132.0,R,2019-11-27,11,2019,2010,Crime,USA,IMDB
Dark Waters,76.0,"['Biography', 'Drama', 'History']",126.0,PG-13,2019-12-06,12,2019,2010,Biography,USA,IMDB
Lady and the Tramp,63.0,"['Adventure', 'Comedy', 'Drama']",103.0,PG,2019-11-12,11,2019,2010,Adventure,USA,IMDB
Charlie's Angels,47.0,"['Action', 'Adventure', 'Comedy']",118.0,PG-13,2019-11-15,11,2019,2010,Action,Germany,IMDB
The Good Liar,66.0,"['Crime', 'Drama', 'Mystery']",109.0,R,2019-11-15,11,2019,2010,Crime,UK,IMDB
Noelle,62.0,"['Comedy', 'Family', 'Fantasy']",100.0,G,2019-11-12,11,2019,2010,Comedy,USA,IMDB
Klaus,82.0,"['Animation', 'Adventure', 'Comedy']",96.0,PG,2019-11-15,11,2019,2010,Animation,Spain,IMDB
Let It Snow,58.0,"['Comedy', 'Romance']",92.0,PG-13,2019-11-08,11,2019,2010,Comedy,USA,IMDB
Playing with Fire,49.0,"['Comedy', 'Family']",96.0,PG,2019-11-08,11,2019,2010,Comedy,USA,IMDB
Frozen II,69.0,"['Animation', 'Adventure', 'Comedy']",103.0,PG,2019-11-22,11,2019,2010,Animation,USA,IMDB
Primal,49.0,"['Action', 'Thriller']",97.0,R,2019-11-08,11,2019,2010,Action,USA,IMDB
Arctic Dogs,46.0,"['Animation', 'Adventure', 'Comedy']",92.0,PG,2019-11-01,11,2019,2010,Animation,India,IMDB
Badland,58.0,['Western'],117.0,TV-14,2019-11-01,11,2019,2010,Western,USA,IMDB
Doctor Sleep,74.0,"['Drama', 'Fantasy', 'Horror']",152.0,R,2019-11-08,11,2019,2010,Drama,USA,IMDB
Better Days,75.0,"['Crime', 'Drama', 'Family']",135.0,,2019-10-25,10,2019,2010,Crime,China,IMDB
Midway,67.0,"['Action', 'Adventure', 'Drama']",138.0,PG-13,2019-11-08,11,2019,2010,Action,China,IMDB
Terminator: Dark Fate,63.0,"['Action', 'Adventure', 'Sci_Fi']",128.0,R,2019-11-01,11,2019,2010,Action,China,IMDB
The Jesus Rolls,43.0,"['Comedy', 'Crime', 'Drama']",85.0,R,2019-10-17,10,2019,2010,Comedy,USA,IMDB
Maleficent: Mistress of Evil,66.0,"['Adventure', 'Family', 'Fantasy']",119.0,PG,2019-10-18,10,2019,2010,Adventure,USA,IMDB
Jay and Silent Bob Reboot,57.0,['Comedy'],105.0,R,2019-11-29,11,2019,2010,Comedy,USA,IMDB
El Camino: A Breaking Bad Movie,73.0,"['Action', 'Crime', 'Drama']",122.0,,2019-10-11,10,2019,2010,Action,USA,IMDB
Jexi,61.0,"['Comedy', 'Romance']",84.0,R,2019-10-11,10,2019,2010,Comedy,USA,IMDB
Earthquake Bird,59.0,"['Crime', 'Drama', 'Mystery']",107.0,R,2019-11-15,11,2019,2010,Crime,UK,IMDB
The Addams Family,58.0,"['Animation', 'Comedy', 'Family']",86.0,PG,2019-10-11,10,2019,2010,Animation,Canada,IMDB
Zombieland: Double Tap,67.0,"['Action', 'Adventure', 'Comedy']",99.0,R,2019-10-18,10,2019,2010,Action,USA,IMDB
Trick,48.0,['Horror'],100.0,Not Rated,2019-10-18,10,2019,2010,Horror,USA,IMDB
Semper Fi,61.0,"['Action', 'Drama']",99.0,R,2019-10-04,10,2019,2010,Action,UK,IMDB
Code 8,61.0,"['Action', 'Crime', 'Drama']",98.0,Not Rated,2019-12-13,12,2019,2010,Action,Canada,IMDB
10 Minutes Gone,36.0,"['Action', 'Crime', 'Mystery']",89.0,R,2019-09-27,9,2019,2010,Action,Canada,IMDB
The Irishman,79.0,"['Biography', 'Crime', 'Drama']",209.0,R,2019-11-27,11,2019,2010,Biography,USA,IMDB
21 Bridges,66.0,"['Action', 'Crime', 'Drama']",99.0,R,2019-11-22,11,2019,2010,Action,China,IMDB
Gemini Man,57.0,"['Action', 'Drama', 'Sci_Fi']",117.0,PG-13,2019-10-11,10,2019,2010,Action,China,IMDB
Fractured,64.0,"['Mystery', 'Thriller']",99.0,,2019-10-11,10,2019,2010,Mystery,USA,IMDB
In the Shadow of the Moon,62.0,"['Crime', 'Mystery', 'Sci_Fi']",115.0,,2019-09-27,9,2019,2010,Crime,USA,IMDB
Black and Blue,63.0,"['Action', 'Crime', 'Drama']",108.0,R,2019-10-25,10,2019,2010,Action,USA,IMDB
Between Two Ferns: The Movie,61.0,['Comedy'],82.0,,2019-09-20,9,2019,2010,Comedy,USA,IMDB
Rambo: Last Blood,62.0,"['Action', 'Thriller']",89.0,R,2019-09-20,9,2019,2010,Action,USA,IMDB
3 from Hell,55.0,['Horror'],115.0,R,2019-09-16,9,2019,2010,Horror,USA,IMDB
Zeroville,46.0,"['Comedy', 'Drama', 'Mystery']",96.0,R,2019-09-27,9,2019,2010,Comedy,USA,IMDB
American Son,57.0,['Drama'],90.0,,2019-11-01,11,2019,2010,Drama,USA,IMDB
Downton Abbey,74.0,"['Drama', 'Romance']",122.0,PG,2019-09-20,9,2019,2010,Drama,UK,IMDB
Running with the Devil,54.0,"['Crime', 'Drama', 'Thriller']",100.0,R,2019-09-20,9,2019,2010,Crime,Colombia,IMDB
Lucy in the Sky,47.0,"['Drama', 'Sci_Fi']",124.0,R,2019-10-04,10,2019,2010,Drama,USA,IMDB
Harriet,65.0,"['Action', 'Biography', 'Drama']",125.0,PG-13,2019-11-01,11,2019,2010,Action,China,IMDB
The Goldfinch,63.0,['Drama'],149.0,R,2019-09-13,9,2019,2010,Drama,USA,IMDB
Jojo Rabbit,79.0,"['Comedy', 'Drama', 'War']",108.0,PG-13,2019-11-08,11,2019,2010,Comedy,New Zealand,IMDB
The Song of Names,63.0,"['Drama', 'Music', 'Mystery']",113.0,PG-13,2019-12-25,12,2019,2010,Drama,Canada,IMDB
Knives Out,79.0,"['Comedy', 'Crime', 'Drama']",130.0,PG-13,2019-11-27,11,2019,2010,Comedy,USA,IMDB
Dolemite Is My Name,73.0,"['Biography', 'Comedy', 'Drama']",118.0,R,2019-10-25,10,2019,2010,Biography,USA,IMDB
Abominable,70.0,"['Animation', 'Adventure', 'Comedy']",97.0,PG,2019-09-27,9,2019,2010,Animation,China,IMDB
Hustlers,63.0,"['Comedy', 'Crime', 'Drama']",110.0,R,2019-09-13,9,2019,2010,Comedy,USA,IMDB
A Beautiful Day in the Neighborhood,73.0,"['Biography', 'Drama']",109.0,PG,2019-11-22,11,2019,2010,Biography,China,IMDB
While at War,70.0,"['Drama', 'History', 'War']",107.0,,2019-09-27,9,2019,2010,Drama,Spain,IMDB
