Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Ip Man 4: The Finale,62.0,"['Action', 'Biography', 'Drama']",107.0,Not Rated,2019-12-20,12,2019,2010,Action,Metascore
Star Wars: The Rise Of Skywalker,53.0,"['Action', 'Adventure', 'Fantasy']",142.0,PG-13,2019-12-20,12,2019,2010,Action,Metascore
Bombshell,64.0,"['Biography', 'Drama']",109.0,R,2019-12-20,12,2019,2010,Biography,Metascore
Black Christmas,49.0,"['Horror', 'Mystery', 'Thriller']",92.0,PG-13,2019-12-13,12,2019,2010,Horror,Metascore
6 Underground,41.0,"['Action', 'Comedy', 'Thriller']",128.0,R,2019-12-13,12,2019,2010,Action,Metascore
Jumanji: The Next Level,58.0,"['Action', 'Adventure', 'Comedy']",123.0,PG-13,2019-12-13,12,2019,2010,Action,Metascore
Spies in Disguise,54.0,"['Animation', 'Adventure', 'Comedy']",102.0,PG,2019-12-25,12,2019,2010,Animation,Metascore
The Courier,15.0,"['Action', 'Crime', 'Drama']",99.0,R,2019-11-22,11,2019,2010,Action,Metascore
Richard Jewell,68.0,"['Biography', 'Crime', 'Drama']",131.0,R,2019-12-13,12,2019,2010,Biography,Metascore
Radioflash,34.0,"['Action', 'Drama', 'Sci_Fi']",103.0,Not Rated,2019-11-15,11,2019,2010,Action,Metascore
Queen & Slim,74.0,"['Crime', 'Drama', 'Romance']",132.0,R,2019-11-27,11,2019,2010,Crime,Metascore
Dark Waters,73.0,"['Biography', 'Drama', 'History']",126.0,PG-13,2019-12-06,12,2019,2010,Biography,Metascore
Lady and the Tramp,48.0,"['Adventure', 'Comedy', 'Drama']",103.0,PG,2019-11-12,11,2019,2010,Adventure,Metascore
Charlie's Angels,52.0,"['Action', 'Adventure', 'Comedy']",118.0,PG-13,2019-11-15,11,2019,2010,Action,Metascore
The Good Liar,55.0,"['Crime', 'Drama', 'Mystery']",109.0,R,2019-11-15,11,2019,2010,Crime,Metascore
Noelle,48.0,"['Comedy', 'Family', 'Fantasy']",100.0,G,2019-11-12,11,2019,2010,Comedy,Metascore
Klaus,65.0,"['Animation', 'Adventure', 'Comedy']",96.0,PG,2019-11-15,11,2019,2010,Animation,Metascore
