Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Invasion,https://www.imdb.com/title/tt8060328/,5.5,1914,134.0,"['Action', 'Sci_Fi']",Not Rated,,IMDB,['Russia'],"['Russian', 'English']",2020-02-09,2.0,2020.0,2020.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Avane Srimannarayana,https://www.imdb.com/title/tt7998242/,7.9,4335,174.0,"['Action', 'Comedy']",Not Rated,,IMDB,['India'],['Kannada'],2019-12-27,12.0,2019.0,2010.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5Gang,https://www.imdb.com/title/tt11529348/,1.6,2150,100.0,"['Action', 'Comedy']",,,IMDB,['Romania'],['Romanian'],2019-12-27,12.0,2019.0,2010.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dabangg 3,https://www.imdb.com/title/tt7059844/,3.3,8619,160.0,"['Action', 'Comedy']",Not Rated,,IMDB,['India'],"['Hindi', 'Kannada', 'Tamil', 'Telugu']",2019-12-20,12.0,2019.0,2010.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My Hero Academia: Heroes Rising,https://www.imdb.com/title/tt11107074/,8.0,1796,104.0,"['Animation', 'Action', 'Adventure']",PG-13,7.0,IMDB,['Japan'],['Japanese'],2020-02-26,2.0,2020.0,2020.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Thambi,https://www.imdb.com/title/tt10468636/,6.8,1223,149.0,"['Action', 'Thriller']",Not Rated,,IMDB,['India'],['Tamil'],2019-12-20,12.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ip Man 4: The Finale,https://www.imdb.com/title/tt2076298/,7.1,18367,107.0,"['Action', 'Biography', 'Drama']",Unrated,6.2,IMDB,"['Hong Kong', 'China']","['Cantonese', 'English', 'Mandarin']",2019-12-20,12.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ashfall,https://www.imdb.com/title/tt11285908/,6.3,1841,130.0,"['Action', 'Drama', 'Thriller']",Not Rated,,IMDB,['South Korea'],"['Korean', 'English', 'Chinese']",2019-12-19,12.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Hero,https://www.imdb.com/title/tt10709232/,6.4,1246,164.0,"['Action', 'Drama', 'Thriller']",Not Rated,,IMDB,['India'],['Tamil'],2019-12-20,12.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Star Wars: The Rise Of Skywalker,https://www.imdb.com/title/tt2527338/,6.7,340305,142.0,"['Action', 'Adventure', 'Fantasy']",PG-13,5.3,IMDB,['USA'],['English'],2019-12-20,12.0,2019.0,2010.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Mardaani 2,https://www.imdb.com/title/tt5668770/,7.4,6576,103.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,['India'],['Hindi'],2019-12-13,12.0,2019.0,2010.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mamangam,https://www.imdb.com/title/tt7537738/,6.5,2202,157.0,"['Action', 'Drama', 'History']",,,IMDB,['India'],['Malayalam'],2019-12-12,12.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6 Underground,https://www.imdb.com/title/tt8106534/,6.1,126137,128.0,"['Action', 'Comedy', 'Thriller']",R,4.1,IMDB,['USA'],"['English', 'Turkmen', 'Cantonese', 'Italian', 'Spanish', 'Ukrainian', 'French']",2019-12-13,12.0,2019.0,2010.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Trauma Center,https://www.imdb.com/title/tt9625664/,4.7,5347,87.0,"['Action', 'Thriller']",R,,IMDB,['USA'],"['English', 'Spanish']",2019-12-06,12.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
