index,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore,Country,Language,Release_Date,Month,Year,Decade,RT_critic,RT_critic_votes,RT_audience,RT_audience_votes,Foreign Language,Foreign Production,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western,Afghanistan,Albania,Algeria,Argentina,Aruba,Australia,Austria,Bahamas,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Brazil,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Egypt,Estonia,Ethiopia,Federal Republic of Yugoslavia,Finland,France,Georgia,Germany,Greece,Guatemala,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Lithuania,Luxembourg,Malaysia,Malta,Mauritania,Mexico,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Turkey,UK,USA,Ukraine,United Arab Emirates,Uruguay,Venezuela,Vietnam,West Germany,Yugoslavia,Primary_Genre
240,Star Wars: The Rise Of Skywalker,https://www.imdb.com/title/tt2527338/,67.0,340305,142.0,"['Action', 'Adventure', 'Fantasy']",PG-13,53.0,USA,['English'],2019-12-20,12,2019,2010,51.0,494.0,86.0,98236.0,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Action
259,Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/,67.0,159275,123.0,"['Action', 'Adventure', 'Comedy']",PG-13,58.0,USA,['English'],2019-12-13,12,2019,2010,72.0,238.0,87.0,35743.0,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Action
260,Spies in Disguise,https://www.imdb.com/title/tt5814534/,68.0,26067,102.0,"['Animation', 'Adventure', 'Comedy']",PG,54.0,USA,"['English', 'Japanese']",2019-12-25,12,2019,2010,75.0,118.0,92.0,8316.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Animation
290,Lady and the Tramp,https://www.imdb.com/title/tt8096832/,63.0,13305,103.0,"['Adventure', 'Comedy', 'Drama']",PG,48.0,USA,['English'],2019-11-12,11,2019,2010,93.0,41.0,80.0,861226.0,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Adventure
291,Charlie's Angels,https://www.imdb.com/title/tt5033998/,47.0,45248,118.0,"['Action', 'Adventure', 'Comedy']",PG-13,52.0,Germany,"['English', 'French', 'Portuguese', 'German', 'Turkish']",2019-11-15,11,2019,2010,68.0,145.0,45.0,729162.0,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Action
296,Klaus,https://www.imdb.com/title/tt4729430/,82.0,72551,96.0,"['Animation', 'Adventure', 'Comedy']",PG,65.0,Spain,"['English', 'Saami']",2019-11-15,11,2019,2010,94.0,67.0,97.0,1982.0,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Animation
302,Frozen II,https://www.imdb.com/title/tt4520988/,69.0,118275,103.0,"['Animation', 'Adventure', 'Comedy']",PG,64.0,USA,['English'],2019-11-22,11,2019,2010,77.0,320.0,92.0,48800.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Animation
306,Arctic Dogs,https://www.imdb.com/title/tt4426464/,46.0,1141,92.0,"['Animation', 'Adventure', 'Comedy']",PG,28.0,India,"['English', 'Korean']",2019-11-01,11,2019,2010,13.0,16.0,60.0,533.0,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Animation
323,Midway,https://www.imdb.com/title/tt6924650/,67.0,52599,138.0,"['Action', 'Adventure', 'Drama']",PG-13,47.0,China,"['English', 'Japanese', 'Mandarin']",2019-11-08,11,2019,2010,47.0,15.0,72.0,7173.0,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Action
327,Terminator: Dark Fate,https://www.imdb.com/title/tt6450804/,63.0,126879,128.0,"['Action', 'Adventure', 'Sci_Fi']",R,54.0,China,"['English', 'Spanish']",2019-11-01,11,2019,2010,70.0,329.0,82.0,13004.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Action
340,Maleficent: Mistress of Evil,https://www.imdb.com/title/tt4777008/,66.0,74234,119.0,"['Adventure', 'Family', 'Fantasy']",PG,43.0,USA,['English'],2019-10-18,10,2019,2010,40.0,251.0,95.0,19127.0,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Adventure
355,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,67.0,117853,99.0,"['Action', 'Adventure', 'Comedy']",R,55.0,USA,"['English', 'Spanish', 'Italian', 'Inuktitut', 'Hindi']",2019-10-18,10,2019,2010,68.0,241.0,88.0,11198.0,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Action
