Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Togo,https://www.imdb.com/title/tt5116302/,8.0,29443,113.0,"['Adventure', 'Biography', 'Drama']",PG,6.9,IMDB,['USA'],['English'],2019-12-20,12.0,2019.0,2010.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ip Man 4: The Finale,https://www.imdb.com/title/tt2076298/,7.1,18367,107.0,"['Action', 'Biography', 'Drama']",Unrated,6.2,IMDB,"['Hong Kong', 'China']","['Cantonese', 'English', 'Mandarin']",2019-12-20,12.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Eftyhia,https://www.imdb.com/title/tt10710246/,8.1,2212,123.0,['Biography'],,,IMDB,['Greece'],['Greek'],2019-12-19,12.0,2019.0,2010.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bombshell,https://www.imdb.com/title/tt6394270/,6.8,65531,109.0,"['Biography', 'Drama']",R,6.4,IMDB,"['USA', 'Canada']",['English'],2019-12-20,12.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Cep HerkÃÂ¼lÃÂ¼: Naim SÃÂ¼leymanoglu,https://www.imdb.com/title/tt9500372/,8.7,2332,141.0,"['Biography', 'Drama', 'Sport']",,,IMDB,['Turkey'],"['Turkish', 'English', 'Bulgarian']",2019-11-22,11.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Richard Jewell,https://www.imdb.com/title/tt3513548/,7.5,44098,131.0,"['Biography', 'Crime', 'Drama']",R,6.8,IMDB,['USA'],['English'],2019-12-13,12.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dark Waters,https://www.imdb.com/title/tt9071322/,7.6,41284,126.0,"['Biography', 'Drama', 'History']",PG-13,7.3,IMDB,['USA'],"['English', 'Korean']",2019-12-06,12.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Saand Ki Aankh,https://www.imdb.com/title/tt8108206/,7.8,3590,146.0,"['Biography', 'Drama']",,,IMDB,['India'],['Hindi'],2019-10-25,10.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Irishman,https://www.imdb.com/title/tt1302006/,7.9,298888,209.0,"['Biography', 'Crime', 'Drama']",R,9.4,IMDB,['USA'],"['English', 'Italian', 'Latin', 'Spanish', 'German']",2019-11-27,11.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True History of the Kelly Gang,https://www.imdb.com/title/tt4844140/,6.1,4509,124.0,"['Biography', 'Crime', 'Drama']",R,7.5,IMDB,"['Australia', 'UK', 'France']","['English', 'Latin']",2020-04-24,4.0,2020.0,2020.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Harriet,https://www.imdb.com/title/tt4648786/,6.5,15380,125.0,"['Action', 'Biography', 'Drama']",PG-13,6.6,IMDB,"['China', 'USA']",['English'],2019-11-01,11.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ride Like a Girl,https://www.imdb.com/title/tt7600382/,7.0,2167,98.0,"['Biography', 'Drama', 'Sport']",PG,4.7,IMDB,['Australia'],['English'],2020-03-13,3.0,2020.0,2020.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Bad Education,https://www.imdb.com/title/tt8206668/,7.1,20927,108.0,"['Biography', 'Comedy', 'Crime']",,7.9,IMDB,['USA'],['English'],2020-04-26,4.0,2020.0,2020.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dolemite Is My Name,https://www.imdb.com/title/tt8526872/,7.3,47786,118.0,"['Biography', 'Comedy', 'Drama']",R,7.6,IMDB,['USA'],['English'],2019-10-25,10.0,2019.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Beautiful Day in the Neighborhood,https://www.imdb.com/title/tt3224458/,7.3,47236,109.0,"['Biography', 'Drama']",PG,8.0,IMDB,"['China', 'USA']",['English'],2019-11-22,11.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Radioactive,https://www.imdb.com/title/tt6017756/,6.0,1977,109.0,"['Biography', 'Drama', 'Romance']",PG-13,5.3,IMDB,"['UK', 'Hungary', 'China', 'France', 'USA']",['English'],2020-07-24,7.0,2020.0,2020.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Just Mercy,https://www.imdb.com/title/tt4916630/,7.6,35139,137.0,"['Biography', 'Crime', 'Drama']",PG-13,6.8,IMDB,['USA'],['English'],2020-01-10,1.0,2020.0,2020.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The King,https://www.imdb.com/title/tt7984766/,7.2,76959,140.0,"['Biography', 'Drama', 'History']",R,6.2,IMDB,"['UK', 'Hungary', 'USA', 'Australia']","['English', 'French']",2019-11-01,11.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Judy,https://www.imdb.com/title/tt7549996/,6.8,32998,118.0,"['Biography', 'Drama', 'Romance']",PG-13,6.6,IMDB,"['UK', 'France', 'USA']",['English'],2019-10-04,10.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Ford v Ferrari,https://www.imdb.com/title/tt1950186/,8.1,237452,152.0,"['Action', 'Biography', 'Drama']",PG-13,8.1,IMDB,['USA'],"['English', 'Italian', 'French', 'Japanese']",2019-11-15,11.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Seberg,https://www.imdb.com/title/tt1780967/,5.6,4000,102.0,"['Biography', 'Drama', 'Thriller']",R,5.4,IMDB,"['UK', 'USA']","['English', 'French']",2019-12-13,12.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
VariaÃÂ§ÃÂµes: Guardian Angel,https://www.imdb.com/title/tt2155399/,7.3,2119,109.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Portugal'],"['Portuguese', 'English', 'Dutch']",2019-08-22,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
General,https://www.imdb.com/title/tt6916502/,3.1,1694,145.0,"['Biography', 'Drama', 'History']",,,IMDB,['Croatia'],"['Croatian', 'French', 'Serbian', 'English']",2019-08-05,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Super 30,https://www.imdb.com/title/tt7485048/,8.0,18384,154.0,"['Biography', 'Drama']",Not Rated,,IMDB,['India'],['Hindi'],2019-07-12,7.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mrs Lowry & Son,https://www.imdb.com/title/tt7590074/,6.6,1180,91.0,"['Biography', 'Drama', 'History']",Not Rated,4.2,IMDB,['UK'],['English'],2019-11-01,11.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The Passage,https://www.imdb.com/title/tt10443808/,7.0,1387,150.0,"['Action', 'Biography', 'Drama']",,,IMDB,['Egypt'],['Arabic'],2019-07-11,7.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Traitor,https://www.imdb.com/title/tt7736478/,7.1,6514,153.0,"['Biography', 'Crime', 'Drama']",R,6.4,IMDB,"['Italy', 'France', 'Germany', 'Brazil']","['Italian', 'Sicilian', 'Portuguese', 'English']",2020-05-12,5.0,2020.0,2020.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Hidden Life,https://www.imdb.com/title/tt5827916/,7.4,13889,174.0,"['Biography', 'Drama', 'Romance']",PG-13,7.8,IMDB,"['USA', 'UK', 'Germany']","['English', 'German', 'Italian']",2020-01-17,1.0,2020.0,2020.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Kardec,https://www.imdb.com/title/tt9213932/,6.2,1095,110.0,['Biography'],,,IMDB,['Brazil'],['Portuguese'],2019-05-16,5.0,2019.0,2010.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rocketman,https://www.imdb.com/title/tt2066051/,7.3,121570,121.0,"['Biography', 'Drama', 'Music']",R,6.9,IMDB,"['UK', 'USA', 'Canada']",['English'],2019-05-31,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Tolkien,https://www.imdb.com/title/tt3361792/,6.8,28974,112.0,"['Biography', 'Drama', 'Romance']",PG-13,4.8,IMDB,['USA'],"['English', 'Middle English', 'Old English', 'Latin', 'German']",2019-05-10,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Breakthrough,https://www.imdb.com/title/tt7083526/,6.2,7562,116.0,"['Biography', 'Drama']",PG,4.6,IMDB,['USA'],['English'],2019-04-17,4.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
