index,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore,Country,Language,Release_Date,Month,Year,Decade,RT_critic,RT_critic_votes,RT_audience,RT_audience_votes,Foreign Language,Foreign Production,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western,Afghanistan,Albania,Algeria,Argentina,Aruba,Australia,Austria,Bahamas,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Brazil,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Egypt,Estonia,Ethiopia,Federal Republic of Yugoslavia,Finland,France,Georgia,Germany,Greece,Guatemala,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Lithuania,Luxembourg,Malaysia,Malta,Mauritania,Mexico,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Turkey,UK,USA,Ukraine,United Arab Emirates,Uruguay,Venezuela,Vietnam,West Germany,Yugoslavia,Primary_Genre
426,The Song of Names,https://www.imdb.com/title/tt1657517/,63.0,1506,113.0,"['Drama', 'Music', 'Mystery']",PG-13,51.0,Canada,['English'],2019-12-25,12,2019,2010,39.0,54.0,90.0,71.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Drama
464,Ema,https://www.imdb.com/title/tt8800266/,68.0,4217,107.0,"['Drama', 'Music']",Not Rated,71.0,Chile,['Spanish'],2019-09-26,9,2019,2010,91.0,78.0,,,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Drama
696,The Sun Is Also a Star,https://www.imdb.com/title/tt6423362/,58.0,5337,100.0,"['Drama', 'Music', 'Romance']",PG-13,52.0,USA,"['English', 'Korean']",2019-05-17,5,2019,2010,51.0,101.0,61.0,835.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Drama
924,Gully Boy,https://www.imdb.com/title/tt2395469/,81.0,28362,153.0,"['Drama', 'Music']",Not Rated,65.0,India,['Hindi'],2019-02-14,2,2019,2010,95.0,22.0,82.0,394.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Drama
966,Blinded by the Light,https://www.imdb.com/title/tt8266310/,69.0,17307,118.0,"['Comedy', 'Drama', 'Music']",PG-13,71.0,UK,['English'],2019-08-16,8,2019,2010,89.0,250.0,91.0,2635.0,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Comedy
1170,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,80.0,429696,134.0,"['Biography', 'Drama', 'Music']",PG-13,49.0,UK,"['English', 'British Sign Language']",2018-11-02,11,2018,2010,60.0,399.0,85.0,23144.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Biography
1304,Bel Canto,https://www.imdb.com/title/tt6046314/,54.0,2641,100.0,"['Drama', 'Music', 'Romance']",,50.0,USA,"['English', 'Spanish', 'French', 'Japanese']",2018-09-14,9,2018,2010,47.0,73.0,46.0,124.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Drama
1325,Her Smell,https://www.imdb.com/title/tt7942742/,62.0,4268,136.0,"['Drama', 'Music']",R,69.0,USA,['English'],2019-05-10,5,2019,2010,83.0,131.0,48.0,237.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Drama
1366,Teen Spirit,https://www.imdb.com/title/tt6483364/,61.0,7089,93.0,"['Drama', 'Music']",PG-13,57.0,UK,"['English', 'Polish']",2019-04-19,4,2019,2010,,,41.0,345.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Drama
1390,Vox Lux,https://www.imdb.com/title/tt5960374/,59.0,15115,114.0,"['Drama', 'Music']",R,67.0,USA,"['English', 'Croatian', 'Chinese']",2018-12-20,12,2018,2010,61.0,244.0,37.0,1010.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Drama
