Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Invasion,https://www.imdb.com/title/tt8060328/,5.5,1914,134.0,"['Action', 'Sci_Fi']",Not Rated,,IMDB,['Russia'],"['Russian', 'English']",2020-02-09,2.0,2020.0,2020.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The App,https://www.imdb.com/title/tt11385066/,2.6,1008,78.0,"['Drama', 'Sci_Fi', 'Thriller']",,,IMDB,['Italy'],"['Italian', 'English']",2019-12-26,12.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
The Wave,https://www.imdb.com/title/tt4354756/,6.0,2234,90.0,"['Sci_Fi', 'Thriller']",R,5.1,IMDB,['USA'],['English'],2020-01-17,1.0,2020.0,2020.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Dropa,https://www.imdb.com/title/tt1822395/,6.3,1942,101.0,"['Drama', 'Sci_Fi', 'Thriller']",,,IMDB,['USA'],['English'],2019-12-06,12.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
3022,https://www.imdb.com/title/tt9465600/,4.7,3180,91.0,['Sci_Fi'],R,,IMDB,['USA'],"['English', 'French']",2019-11-22,11.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Radioflash,https://www.imdb.com/title/tt7288408/,5.6,2071,103.0,"['Action', 'Drama', 'Sci_Fi']",Unrated,3.4,IMDB,['USA'],['English'],2019-11-15,11.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
The Mandela Effect,https://www.imdb.com/title/tt6544220/,5.7,1670,80.0,"['Drama', 'Sci_Fi', 'Thriller']",,,IMDB,['USA'],"['English', 'Spanish']",2019-12-06,12.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
Terminator: Dark Fate,https://www.imdb.com/title/tt6450804/,6.3,126879,128.0,"['Action', 'Adventure', 'Sci_Fi']",R,5.4,IMDB,"['China', 'Spain', 'Hungary', 'USA']","['English', 'Spanish']",2019-11-01,11.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Gemini Man,https://www.imdb.com/title/tt1025100/,5.7,71462,117.0,"['Action', 'Drama', 'Sci_Fi']",PG-13,3.8,IMDB,"['China', 'USA', 'India']","['English', 'French']",2019-10-11,10.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
In the Shadow of the Moon,https://www.imdb.com/title/tt8110640/,6.2,35715,115.0,"['Crime', 'Mystery', 'Sci_Fi']",,4.8,IMDB,"['USA', 'Canada']",['English'],2019-09-27,9.0,2019.0,2010.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Blood Machines,https://www.imdb.com/title/tt6197070/,6.2,1704,50.0,"['Adventure', 'Music', 'Sci_Fi']",,,IMDB,['France'],['English'],2020-05-21,5.0,2020.0,2020.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Lucy in the Sky,https://www.imdb.com/title/tt4682804/,4.7,4348,124.0,"['Drama', 'Sci_Fi']",R,3.6,IMDB,['USA'],"['English', 'French', 'German', 'Latin']",2019-10-04,10.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Color Out of Space,https://www.imdb.com/title/tt5073642/,6.2,22312,111.0,"['Horror', 'Sci_Fi']",Unrated,7.0,IMDB,"['Malaysia', 'Portugal', 'USA']",['English'],2020-02-05,2.0,2020.0,2020.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
The Platform,https://www.imdb.com/title/tt8228288/,7.0,138228,94.0,"['Horror', 'Sci_Fi', 'Thriller']",,7.3,IMDB,['Spain'],['Spanish'],2020-03-20,3.0,2020.0,2020.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
Black Ops,https://www.imdb.com/title/tt8439934/,5.6,1321,102.0,"['Action', 'Horror', 'Sci_Fi']",,,IMDB,['UK'],['English'],2020-06-12,6.0,2020.0,2020.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Rabid,https://www.imdb.com/title/tt5628902/,5.1,3149,107.0,"['Horror', 'Sci_Fi']",Not Rated,4.3,IMDB,['Canada'],['English'],2019-12-13,12.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Dark Encounter,https://www.imdb.com/title/tt8269120/,5.1,1511,97.0,"['Mystery', 'Sci_Fi', 'Thriller']",,,IMDB,['UK'],,2019-10-24,10.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
Shanghai Fortress,https://www.imdb.com/title/tt6628322/,4.3,1680,107.0,"['Action', 'Sci_Fi']",,,IMDB,['China'],"['Mandarin', 'English']",2019-08-09,8.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Banana Splits Movie,https://www.imdb.com/title/tt9831136/,5.0,2265,89.0,"['Comedy', 'Horror', 'Sci_Fi']",R,,IMDB,"['USA', 'South Africa', 'Canada']",['English'],2019-08-13,8.0,2019.0,2010.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
iSmart Shankar,https://www.imdb.com/title/tt9558468/,5.5,1441,140.0,"['Action', 'Sci_Fi']",Not Rated,,IMDB,['India'],['Telugu'],2019-07-17,7.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cosmos,https://www.imdb.com/title/tt4477292/,5.8,2634,128.0,"['Adventure', 'Mystery', 'Sci_Fi']",,,IMDB,['UK'],['English'],2019-11-07,11.0,2019.0,2010.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/,7.5,299305,129.0,"['Action', 'Adventure', 'Sci_Fi']",PG-13,6.9,IMDB,['USA'],"['English', 'Italian', 'Czech']",2019-07-02,7.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Child's Play,https://www.imdb.com/title/tt8663516/,5.8,40100,90.0,"['Horror', 'Sci_Fi']",R,4.8,IMDB,"['Canada', 'USA']","['English', 'Vietnamese']",2019-06-21,6.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
X-Men: Dark Phoenix,https://www.imdb.com/title/tt6565702/,5.8,143036,113.0,"['Action', 'Adventure', 'Sci_Fi']",PG-13,4.3,IMDB,"['USA', 'Canada']","['English', 'French']",2019-06-07,6.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Gallows Act II,https://www.imdb.com/title/tt7473716/,4.3,1284,99.0,"['Horror', 'Mystery', 'Sci_Fi']",R,,IMDB,['USA'],['English'],2019-10-25,10.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
Assimilate,https://www.imdb.com/title/tt5238904/,5.3,3859,93.0,"['Horror', 'Mystery', 'Sci_Fi']",,,IMDB,['USA'],['English'],2019-05-24,5.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
Life Like,https://www.imdb.com/title/tt6547786/,5.4,1361,95.0,"['Sci_Fi', 'Thriller']",R,,IMDB,['USA'],['English'],2019-05-14,5.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Only,https://www.imdb.com/title/tt3984356/,5.1,1410,98.0,"['Drama', 'Romance', 'Sci_Fi']",,5.3,IMDB,['USA'],['English'],2020-03-06,3.0,2020.0,2020.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
After Midnight,https://www.imdb.com/title/tt8358220/,5.2,1697,83.0,"['Drama', 'Horror', 'Sci_Fi']",,5.5,IMDB,['USA'],['English'],2020-02-20,2.0,2020.0,2020.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
Excursion,https://www.imdb.com/title/tt9005662/,6.9,3162,85.0,"['Mystery', 'Sci_Fi', 'Thriller']",,,IMDB,['UK'],['English'],2019-04-20,4.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
The Silence,https://www.imdb.com/title/tt7315484/,5.3,34356,90.0,"['Drama', 'Horror', 'Sci_Fi']",PG-13,2.5,IMDB,"['Canada', 'Germany']","['English', 'American Sign Language']",2019-04-10,4.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
Alien Warfare,https://www.imdb.com/title/tt9562694/,2.6,2582,88.0,"['Action', 'Sci_Fi']",Not Rated,,IMDB,['USA'],['English'],2019-04-05,4.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Blackout,https://www.imdb.com/title/tt8664988/,6.1,3208,127.0,"['Action', 'Sci_Fi', 'Thriller']",,,IMDB,['Russia'],['Russian'],2019-11-21,11.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Abduction,https://www.imdb.com/title/tt7867360/,4.9,1797,98.0,"['Action', 'Horror', 'Sci_Fi']",Not Rated,,IMDB,['China'],,2019-06-07,6.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Snatchers,https://www.imdb.com/title/tt10009030/,5.7,2043,96.0,"['Comedy', 'Horror', 'Sci_Fi']",R,,IMDB,['USA'],['English'],2020-02-20,2.0,2020.0,2020.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Captain Marvel,https://www.imdb.com/title/tt4154664/,6.9,418392,123.0,"['Action', 'Adventure', 'Sci_Fi']",PG-13,6.4,IMDB,"['USA', 'Australia']",['English'],2019-03-08,3.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Light of My Life,https://www.imdb.com/title/tt6063090/,6.6,8826,119.0,"['Drama', 'Sci_Fi', 'Thriller']",R,6.7,IMDB,['USA'],['English'],2019-08-09,8.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
9,https://www.imdb.com/title/tt8180482/,7.0,1653,149.0,"['Fantasy', 'Horror', 'Sci_Fi']",,,IMDB,['India'],['Malayalam'],2019-02-22,2.0,2019.0,2010.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
The Wandering Earth,https://www.imdb.com/title/tt7605074/,6.0,24937,125.0,"['Action', 'Sci_Fi']",,5.7,IMDB,['China'],"['Mandarin', 'English', 'Russian', 'French', 'Japanese', 'Korean', 'Indonesian', 'Hindi']",2019-02-05,2.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Crazy Alien,https://www.imdb.com/title/tt6660238/,5.7,1001,116.0,"['Comedy', 'Sci_Fi']",,,IMDB,['China'],"['Chinese', 'English']",2019-02-05,2.0,2019.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Alita: Battle Angel,https://www.imdb.com/title/tt0437086/,7.3,213898,122.0,"['Action', 'Adventure', 'Sci_Fi']",PG-13,5.3,IMDB,"['USA', 'Japan', 'Canada']","['English', 'Spanish']",2019-02-14,2.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Drone,https://www.imdb.com/title/tt7476524/,5.6,1235,82.0,"['Comedy', 'Horror', 'Sci_Fi']",R,,IMDB,['USA'],['English'],2019-11-22,11.0,2019.0,2010.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Little Monsters,https://www.imdb.com/title/tt7390588/,6.3,10866,93.0,"['Comedy', 'Horror', 'Sci_Fi']",R,5.9,IMDB,"['UK', 'Australia', 'USA']","['English', 'Chinese']",2019-10-11,10.0,2019.0,2010.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
The Vast of Night,https://www.imdb.com/title/tt6803046/,6.7,15542,91.0,"['Drama', 'Mystery', 'Sci_Fi']",PG-13,8.4,IMDB,['USA'],['English'],2020-05-29,5.0,2020.0,2020.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
Paradise Hills,https://www.imdb.com/title/tt6127004/,5.6,11210,95.0,"['Fantasy', 'Sci_Fi', 'Thriller']",TV-14,5.0,IMDB,"['Spain', 'USA']",['English'],2019-10-25,10.0,2019.0,2010.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
Divine Love,https://www.imdb.com/title/tt8311958/,6.3,1287,101.0,"['Drama', 'Sci_Fi']",,8.6,IMDB,"['Brazil', 'Uruguay', 'Denmark', 'Norway', 'Chile', 'Sweden']",['Portuguese'],2019-06-27,6.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
I Am Mother,https://www.imdb.com/title/tt6292852/,6.7,68861,113.0,"['Drama', 'Mystery', 'Sci_Fi']",TV-14,6.4,IMDB,['Australia'],['English'],2019-06-07,6.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
IO,https://www.imdb.com/title/tt3256226/,4.7,29493,96.0,"['Adventure', 'Drama', 'Sci_Fi']",TV-14,4.0,IMDB,['USA'],['English'],2019-01-18,1.0,2019.0,2010.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Le chant du loup,https://www.imdb.com/title/tt7458762/,6.9,11517,115.0,"['Action', 'Adventure', 'Sci_Fi']",TV-14,,IMDB,['France'],['French'],2019-06-20,6.0,2019.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Glass,https://www.imdb.com/title/tt6823368/,6.7,195342,129.0,"['Drama', 'Sci_Fi', 'Thriller']",PG-13,4.3,IMDB,"['USA', 'China']","['English', 'Spanish']",2019-01-18,1.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
Beyond White Space,https://www.imdb.com/title/tt1977094/,4.5,1319,93.0,"['Sci_Fi', 'Thriller']",Not Rated,,IMDB,"['USA', 'Hungary']",['English'],2018-12-14,12.0,2018.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Bumblebee,https://www.imdb.com/title/tt4701182/,6.8,128645,114.0,"['Action', 'Adventure', 'Sci_Fi']",PG-13,6.6,IMDB,"['China', 'USA']",['English'],2018-12-21,12.0,2018.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2.0,https://www.imdb.com/title/tt5080556/,6.3,20129,148.0,"['Action', 'Sci_Fi']",Not Rated,,IMDB,['India'],"['Hindi', 'Tamil']",2018-11-29,11.0,2018.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bird Box,https://www.imdb.com/title/tt2737304/,6.6,263433,124.0,"['Drama', 'Horror', 'Sci_Fi']",R,5.1,IMDB,['USA'],['English'],2018-12-21,12.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
Replicas,https://www.imdb.com/title/tt4154916/,5.5,28990,107.0,"['Drama', 'Sci_Fi', 'Thriller']",PG-13,1.9,IMDB,"['UK', 'China', 'Puerto Rico', 'USA']",['English'],2019-01-11,1.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
Astral,https://www.imdb.com/title/tt4765240/,5.6,4132,83.0,"['Drama', 'Horror', 'Sci_Fi']",,,IMDB,['UK'],['English'],2019-01-24,1.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
Super Lopez,https://www.imdb.com/title/tt4110388/,5.3,2671,108.0,"['Action', 'Comedy', 'Sci_Fi']",,,IMDB,['Spain'],['Spanish'],2018-11-23,11.0,2018.0,2010.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Twisted Pair,https://www.imdb.com/title/tt8196068/,5.9,1261,89.0,"['Drama', 'Fantasy', 'Sci_Fi']",Not Rated,,IMDB,['USA'],['English'],2018-10-03,10.0,2018.0,2010.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
Venom,https://www.imdb.com/title/tt1270797/,6.7,337195,112.0,"['Action', 'Adventure', 'Sci_Fi']",PG-13,3.5,IMDB,"['China', 'USA']","['English', 'Mandarin', 'Malay']",2018-10-05,10.0,2018.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
I Still See You,https://www.imdb.com/title/tt2160105/,5.8,7681,98.0,"['Fantasy', 'Horror', 'Sci_Fi']",PG-13,3.1,IMDB,['USA'],['English'],2018-10-12,10.0,2018.0,2010.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
Tiempo despuÃÂ©s,https://www.imdb.com/title/tt7321356/,5.8,1039,95.0,"['Comedy', 'Sci_Fi']",,,IMDB,"['Spain', 'Portugal']",['Spanish'],2018-12-28,12.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Starfish,https://www.imdb.com/title/tt5700182/,5.3,2142,101.0,"['Drama', 'Sci_Fi']",M,7.4,IMDB,['USA'],['English'],2018-09-21,9.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Clara,https://www.imdb.com/title/tt6613878/,6.7,2903,105.0,['Sci_Fi'],Not Rated,4.3,IMDB,"['Canada', 'USA']",['English'],2019-05-03,5.0,2019.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Freaks,https://www.imdb.com/title/tt8781414/,6.7,22125,105.0,"['Drama', 'Mystery', 'Sci_Fi']",R,6.3,IMDB,"['Canada', 'USA']",['English'],2019-09-13,9.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
Cities of Last Things,https://www.imdb.com/title/tt4397342/,6.2,1091,106.0,"['Crime', 'Drama', 'Sci_Fi']",,6.6,IMDB,"['Taiwan', 'China', 'France', 'USA']","['Mandarin', 'English', 'French']",2019-07-11,7.0,2019.0,2010.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Aniara,https://www.imdb.com/title/tt7589524/,6.2,4963,106.0,"['Drama', 'Sci_Fi']",R,6.1,IMDB,"['Sweden', 'Denmark', 'USA']","['Swedish', 'Spanish', 'English']",2019-05-17,5.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
The Predator,https://www.imdb.com/title/tt3829266/,5.4,111523,107.0,"['Action', 'Adventure', 'Sci_Fi']",R,4.8,IMDB,"['USA', 'Canada']","['English', 'Spanish']",2018-09-14,9.0,2018.0,2010.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
UFO,https://www.imdb.com/title/tt6290798/,6.2,8616,88.0,"['Drama', 'Mystery', 'Sci_Fi']",PG-13,,IMDB,['USA'],['English'],2018-09-04,9.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
The Dawnseeker,https://www.imdb.com/title/tt8548792/,4.5,2194,81.0,['Sci_Fi'],,,IMDB,['USA'],['English'],2018-08-16,8.0,2018.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Meg,https://www.imdb.com/title/tt4779682/,5.6,140572,113.0,"['Action', 'Horror', 'Sci_Fi']",PG-13,4.6,IMDB,"['USA', 'China']","['English', 'Mandarin', 'Thai', 'Japanese']",2018-08-10,8.0,2018.0,2010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Alien Code,https://www.imdb.com/title/tt5453522/,5.6,1615,97.0,"['Mystery', 'Sci_Fi', 'Thriller']",Not Rated,,IMDB,['USA'],['English'],2018-08-07,8.0,2018.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
Beyond the Sky,https://www.imdb.com/title/tt3665498/,5.8,3499,82.0,"['Mystery', 'Sci_Fi', 'Thriller']",Not Rated,,IMDB,['USA'],['English'],2018-09-21,9.0,2018.0,2010.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
Extinction,https://www.imdb.com/title/tt3201640/,5.8,43895,95.0,"['Action', 'Drama', 'Sci_Fi']",,4.0,IMDB,['USA'],['English'],2018-07-27,7.0,2018.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
