Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Black Is King,https://www.imdb.com/title/tt12607910/,5.7,4467,85.0,"['Adventure', 'Drama', 'Fantasy']",TV-14,75.0,IMDB,Black Is King (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 July 2020 (USA)
    
See more »
    
"
Raat Akeli Hai,https://www.imdb.com/title/tt12567088/,7.6,4840,149.0,"['Crime', 'Drama', 'Mystery']",,,IMDB,Raat Akeli Hai (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 July 2020 (USA)
    
See more »
    
"
Shakuntala Devi,https://www.imdb.com/title/tt10964468/,6.4,3386,127.0,['Drama'],,,IMDB,Shakuntala Devi (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 July 2020 (India)
    
See more »
    
"
Lootcase,https://www.imdb.com/title/tt10515526/,8.0,3941,0.0,['Comedy'],,,IMDB,Lootcase (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 July 2020 (India)
    
See more »
    
"
Yaara,https://www.imdb.com/title/tt3698454/,6.0,1249,0.0,"['Action', 'Crime', 'Drama']",,,IMDB,Yaara (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 30 July 2020 (India)
    
See more »
    
"
Deep Blue Sea 3,https://www.imdb.com/title/tt11946300/,4.6,1215,99.0,"['Action', 'Horror', 'Sci-Fi']",R,,IMDB,Deep Blue Sea 3 (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 July 2020 (USA)
    
See more »
    
"
The Kissing Booth 2,https://www.imdb.com/title/tt9784456/,6.0,9951,134.0,"['Comedy', 'Romance']",TV-14,39.0,IMDB,The Kissing Booth 2 (2020) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
Dil Bechara,https://www.imdb.com/title/tt8110330/,9.2,92425,101.0,"['Comedy', 'Drama', 'Romance']",,,IMDB,Dil Bechara (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
Offering to the Storm,https://www.imdb.com/title/tt7304824/,6.2,1596,139.0,"['Crime', 'Thriller']",,,IMDB,Offering to the Storm (2020) ,"
Country:
Spain
|
Germany
","
Language:
Spanish
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
The Rental,https://www.imdb.com/title/tt10003008/,5.8,4911,88.0,"['Horror', 'Thriller']",R,63.0,IMDB,The Rental (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
The Silencing,https://www.imdb.com/title/tt7149730/,6.1,2629,93.0,"['Action', 'Crime', 'Thriller']",R,,IMDB,The Silencing (2020) ,"
Country:
Canada
|
USA
","
Language:
English
","
Release Date: 18 July 2020 (USA)
    
See more »
    
"
Ghosts of War,https://www.imdb.com/title/tt6508228/,5.4,1365,94.0,"['Horror', 'Thriller', 'War']",R,38.0,IMDB,Ghosts of War (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 17 July 2020 (UK)
    
See more »
    
"
Virgin Bhanupriya,https://www.imdb.com/title/tt11964084/,6.4,1513,111.0,"['Comedy', 'Drama']",,,IMDB,Virgin Bhanupriya (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 16 July 2020 (India)
    
See more »
    
"
Fatal Affair,https://www.imdb.com/title/tt11057594/,4.4,3243,89.0,"['Drama', 'Thriller']",TV-14,34.0,IMDB,Fatal Affair (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 July 2020 (USA)
    
See more »
    
"
Unhinged,https://www.imdb.com/title/tt10059518/,6.2,1003,90.0,['Thriller'],R,33.0,IMDB,Unhinged (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 August 2020 (USA)
    
See more »
    
"
Peninsula,https://www.imdb.com/title/tt8850222/,6.0,1233,116.0,"['Action', 'Horror', 'Thriller']",,,IMDB,Peninsula (2020) ,"
Country:
South Korea
","
Language:
Korean
","
Release Date: 7 August 2020 (USA)
    
See more »
    
"
The Old Guard,https://www.imdb.com/title/tt7556122/,6.7,79295,125.0,"['Action', 'Adventure', 'Fantasy']",R,70.0,IMDB,The Old Guard (2020) ,"
Country:
USA
","
Language:
French
|
Italian
|
English
|
Arabic
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Archive,https://www.imdb.com/title/tt6882604/,6.3,3269,109.0,['Sci-Fi'],,67.0,IMDB,Archive (2020) ,"
Country:
UK
|
Hungary
|
USA
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Greyhound,https://www.imdb.com/title/tt6048922/,7.1,36938,91.0,"['Action', 'Drama', 'History']",PG-13,63.0,IMDB,Greyhound (2020) ,"
Country:
USA
|
Canada
|
China
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
