Title (w/ year),Country,Language,Release_Date
Black Is King (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 July 2020 (USA)
    
See more »
    
"
Raat Akeli Hai (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 July 2020 (USA)
    
See more »
    
"
Shakuntala Devi (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 July 2020 (India)
    
See more »
    
"
Lootcase (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 July 2020 (India)
    
See more »
    
"
Yaara (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 30 July 2020 (India)
    
See more »
    
"
Deep Blue Sea 3 (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 July 2020 (USA)
    
See more »
    
"
The Kissing Booth 2 (2020) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
Dil Bechara (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
Offering to the Storm (2020) ,"
Country:
Spain
|
Germany
","
Language:
Spanish
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
The Rental (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 July 2020 (USA)
    
See more »
    
"
The Silencing (2020) ,"
Country:
Canada
|
USA
","
Language:
English
","
Release Date: 18 July 2020 (USA)
    
See more »
    
"
Ghosts of War (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 17 July 2020 (UK)
    
See more »
    
"
Virgin Bhanupriya (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 16 July 2020 (India)
    
See more »
    
"
Fatal Affair (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 July 2020 (USA)
    
See more »
    
"
Unhinged (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 August 2020 (USA)
    
See more »
    
"
Peninsula (2020) ,"
Country:
South Korea
","
Language:
Korean
","
Release Date: 7 August 2020 (USA)
    
See more »
    
"
The Old Guard (2020) ,"
Country:
USA
","
Language:
French
|
Italian
|
English
|
Arabic
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Archive (2020) ,"
Country:
UK
|
Hungary
|
USA
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Greyhound (2020) ,"
Country:
USA
|
Canada
|
China
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Hamilton (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 July 2020 (USA)
    
See more »
    
"
Desperados (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 July 2020 (USA)
    
See more »
    
"
The F**k-It List (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 July 2020 (USA)
    
See more »
    
"
Under the Riccione Sun (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1 July 2020 (USA)
    
See more »
    
"
Force of Nature (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 June 2020 (USA)
    
See more »
    
"
Irresistible (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 June 2020 (USA)
    
See more »
    
"
Eurovision Song Contest: The Story of Fire Saga (2020) ,"
Country:
USA
","
Language:
Icelandic
|
English
","
Release Date: 26 June 2020 (USA)
    
See more »
    
"
The Outpost (2020) ,"
Country:
USA
|
Bulgaria
","
Language:
English
","
Release Date: 3 July 2020 (USA)
    
See more »
    
"
Bulbbul (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 June 2020 (USA)
    
See more »
    
"
Chaman Bahaar (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 19 June 2020 (India)
    
See more »
    
"
Penguin (2020) ,"
Country:
India
","
Language:
Tamil
|
Malayalam
|
Telugu
","
Release Date: 19 June 2020 (USA)
    
See more »
    
"
Feel the Beat (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 June 2020 (USA)
    
See more »
    
"
Lost Bullet (2020) ,"
Country:
France
","
Language:
French
","
Release Date: 19 June 2020 (USA)
    
See more »
    
"
You Should Have Left (2020) ,"
Country:
USA
|
UK
","
Language:
English
","
Release Date: 18 June 2020 (USA)
    
See more »
    
"
A Whisker Away (2020) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 18 June 2020 (USA)
    
See more »
    
"
Da 5 Bloods (2020) ,"
Country:
USA
","
Language:
English
|
Finnish
|
French
|
Vietnamese
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
