,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date
0,Invasion,https://www.imdb.com/title/tt8060328/,5.5,1914,134.0,"['Action', 'Sci-Fi']",Not Rated,,IMDB,['Russia'],"['Russian', 'English']",2020-02-09
1,Dolittle,https://www.imdb.com/title/tt6673612/,5.6,37347,101.0,"['Adventure', 'Comedy', 'Family']",PG,2.6,IMDB,"['USA', 'China', 'UK', 'Japan']","['English', 'French']",2020-01-17
2,The Grudge,https://www.imdb.com/title/tt3612126/,4.2,16138,94.0,"['Horror', 'Mystery']",R,4.1,IMDB,"['USA', 'Canada']",['English'],2020-01-03
3,Tolo Tolo,https://www.imdb.com/title/tt10413566/,6.0,1828,90.0,"['Comedy', 'Family']",,,IMDB,['Italy'],['Italian'],2020-01-01
4,Ghost Stories,https://www.imdb.com/title/tt10230404/,4.3,3873,144.0,"['Horror', 'Thriller']",,,IMDB,['India'],['Hindi'],2020-01-01
5,Good Newwz,https://www.imdb.com/title/tt8504014/,7.0,12401,134.0,"['Comedy', 'Drama']",Not Rated,,IMDB,['India'],"['Hindi', 'English']",2019-12-27
6,Avane Srimannarayana,https://www.imdb.com/title/tt7998242/,7.9,4335,174.0,"['Action', 'Comedy']",Not Rated,,IMDB,['India'],['Kannada'],2019-12-27
7,5Gang,https://www.imdb.com/title/tt11529348/,1.6,2150,100.0,"['Action', 'Comedy']",,,IMDB,['Romania'],['Romanian'],2019-12-27
8,Sillu Karuppatti,https://www.imdb.com/title/tt9614988/,8.3,1042,153.0,"['Drama', 'Romance']",,,IMDB,['India'],['Tamil'],2019-12-26
9,The App,https://www.imdb.com/title/tt11385066/,2.6,1008,78.0,"['Drama', 'Sci-Fi', 'Thriller']",,,IMDB,['Italy'],"['Italian', 'English']",2019-12-26
10,My Mom is a Character 3,https://www.imdb.com/title/tt10611372/,7.1,1466,111.0,['Comedy'],,,IMDB,['Brazil'],['Portuguese'],2019-12-26
11,Tunnelen,https://www.imdb.com/title/tt9049042/,6.3,1087,105.0,"['Drama', 'Thriller']",,,IMDB,['Norway'],['Norwegian'],2019-12-25
12,Miracle in Cell No. 7,https://www.imdb.com/title/tt10845262/,7.5,1527,120.0,['Drama'],,,IMDB,['Philippines'],"['Tagalog', 'Filipino']",2020-01-17
13,Mathu Vadalara,https://www.imdb.com/title/tt11469744/,8.3,1994,130.0,"['Comedy', 'Crime', 'Thriller']",,,IMDB,['India'],['Telugu'],2019-12-24
14,Como CaÃÂ­do Del Cielo,https://www.imdb.com/title/tt10946934/,6.3,1033,112.0,"['Comedy', 'Drama', 'Musical']",TV-14,,IMDB,['Mexico'],['Spanish'],2019-12-24
15,Driving Licence,https://www.imdb.com/title/tt9264336/,7.2,1715,135.0,"['Comedy', 'Drama', 'Thriller']",,,IMDB,['India'],['Malayalam'],2019-12-25
16,Dabangg 3,https://www.imdb.com/title/tt7059844/,3.3,8619,160.0,"['Action', 'Comedy']",Not Rated,,IMDB,['India'],"['Hindi', 'Kannada', 'Tamil', 'Telugu']",2019-12-20
17,Togo,https://www.imdb.com/title/tt5116302/,8.0,29443,113.0,"['Adventure', 'Biography', 'Drama']",PG,6.9,IMDB,['USA'],['English'],2019-12-20
18,Prathi Poovankozhi,https://www.imdb.com/title/tt11312700/,7.4,1065,102.0,"['Drama', 'Thriller']",,,IMDB,['India'],['Malayalam'],2019-12-20
19,My Hero Academia: Heroes Rising,https://www.imdb.com/title/tt11107074/,8.0,1796,104.0,"['Animation', 'Action', 'Adventure']",PG-13,7.0,IMDB,['Japan'],['Japanese'],2020-02-26
20,Thambi,https://www.imdb.com/title/tt10468636/,6.8,1223,149.0,"['Action', 'Thriller']",Not Rated,,IMDB,['India'],['Tamil'],2019-12-20
21,Pinocchio,https://www.imdb.com/title/tt8333746/,6.4,3210,120.0,"['Drama', 'Fantasy']",,,IMDB,"['Italy', 'France', 'UK']",['Italian'],2019-12-19
22,Ip Man 4: The Finale,https://www.imdb.com/title/tt2076298/,7.1,18367,107.0,"['Action', 'Biography', 'Drama']",Unrated,6.2,IMDB,"['Hong Kong', 'China']","['Cantonese', 'English', 'Mandarin']",2019-12-20
23,Ashfall,https://www.imdb.com/title/tt11285908/,6.3,1841,130.0,"['Action', 'Drama', 'Thriller']",Not Rated,,IMDB,['South Korea'],"['Korean', 'English', 'Chinese']",2019-12-19
24,Eftyhia,https://www.imdb.com/title/tt10710246/,8.1,2212,123.0,['Biography'],,,IMDB,['Greece'],['Greek'],2019-12-19
25,La dea fortuna,https://www.imdb.com/title/tt10256570/,5.9,1051,114.0,['Drama'],,,IMDB,['Italy'],['Italian'],2019-12-19
26,Hero,https://www.imdb.com/title/tt10709232/,6.4,1246,164.0,"['Action', 'Drama', 'Thriller']",Not Rated,,IMDB,['India'],['Tamil'],2019-12-20
27,Cats,https://www.imdb.com/title/tt5697572/,2.7,34893,110.0,"['Comedy', 'Drama', 'Family']",PG,3.2,IMDB,"['UK', 'USA']",['English'],2019-12-20
28,Star Wars: The Rise Of Skywalker,https://www.imdb.com/title/tt2527338/,6.7,340305,142.0,"['Action', 'Adventure', 'Fantasy']",PG-13,5.3,IMDB,['USA'],['English'],2019-12-20
29,GÃÂ¼zelligin Portresi,https://www.imdb.com/title/tt9520140/,6.4,1851,127.0,"['Drama', 'Horror', 'Thriller']",,,IMDB,['Turkey'],['Turkish'],2019-12-13
