Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Re-Elected,https://www.imdb.com/title/tt9821834/, ~data not found~ , ~data not found~ ,82 min,"
Comedy, Horror            ", ~data not found~ ,,IMDB
Bay Lawz: Stick to the code,https://www.imdb.com/title/tt9710724/, ~data not found~ , ~data not found~ ,110 min,"
Drama            ", ~data not found~ ,,IMDB
The 13th Cross,https://www.imdb.com/title/tt9567472/, ~data not found~ , ~data not found~ ,107 min,"
Thriller            ", ~data not found~ ,,IMDB
BOB,https://www.imdb.com/title/tt9529044/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Animation, Action, Adventure            ", ~data not found~ ,,IMDB
Meu Sangue Ferve por Você,https://www.imdb.com/title/tt9125246/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Musical            ", ~data not found~ ,,IMDB
Freak Power: The Battle of Aspen,https://www.imdb.com/title/tt9075038/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Drama            ", ~data not found~ ,,IMDB
Glia,https://www.imdb.com/title/tt8635384/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Action, Drama, Sci-Fi            ", ~data not found~ ,,IMDB
The Florist,https://www.imdb.com/title/tt7438928/, ~data not found~ , ~data not found~ ,90 min,"
Drama            ", ~data not found~ ,,IMDB
What We Found,https://www.imdb.com/title/tt7179594/, ~data not found~ , ~data not found~ ,110 min,"
Thriller            ", ~data not found~ ,,IMDB
My Client's Wife,https://www.imdb.com/title/tt5775536/,7.2,205,106 min,"
Mystery, Thriller            ", ~data not found~ ,,IMDB
Illuminate,https://www.imdb.com/title/tt5672890/,9.5,6,61 min,"
Sci-Fi            ", ~data not found~ ,,IMDB
#Slaughterhouse,https://www.imdb.com/title/tt5654204/,7.2,28, ~data not found~ ,"
Action, Horror            ", ~data not found~ ,,IMDB
Walk Through the Bible,https://www.imdb.com/title/tt5481026/, ~data not found~ , ~data not found~ , ~data not found~ , ~data not found~ , ~data not found~ ,,IMDB
Nahui,https://www.imdb.com/title/tt5363028/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Drama            ", ~data not found~ ,,IMDB
"Banned, Exploited & Blacklisted: The Underground Work of Controversial Filmmaker Shane Ryan",https://www.imdb.com/title/tt5274150/,8.7,6, ~data not found~ ,"
Action, Comedy, Crime            ", ~data not found~ ,,IMDB
Cut Throat City,https://www.imdb.com/title/tt3547306/, ~data not found~ , ~data not found~ ,123 min,"
Action, Crime, Drama            ",R,,IMDB
Squad,https://www.imdb.com/title/tt3100046/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Action, Comedy, Drama            ", ~data not found~ ,,IMDB
O Que os Olhos Não Vêem,https://www.imdb.com/title/tt2288360/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Fantasy, Horror            ", ~data not found~ ,,IMDB
Unvisible Monsters,https://www.imdb.com/title/tt12799028/, ~data not found~ , ~data not found~ ,59 min,"
Comedy, Sci-Fi            ", ~data not found~ ,,IMDB
Hanimaga'nin Gelinleri,https://www.imdb.com/title/tt12794086/,7.2,5, ~data not found~ ,"
Comedy            ", ~data not found~ ,,IMDB
Hawala Rise of A Gangster,https://www.imdb.com/title/tt12793884/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Action            ", ~data not found~ ,,IMDB
Informal Hit,https://www.imdb.com/title/tt12788434/, ~data not found~ , ~data not found~ ,27 min,"
Thriller            ", ~data not found~ ,,IMDB
Respirare Stanca,https://www.imdb.com/title/tt12753458/, ~data not found~ , ~data not found~ ,100 min,"
Drama            ", ~data not found~ ,,IMDB
Jamila,https://www.imdb.com/title/tt12752930/, ~data not found~ , ~data not found~ , ~data not found~ ,"
Drama            ", ~data not found~ ,,IMDB
