Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Invasion,https://www.imdb.com/title/tt8060328/,5.5,1914,134.0,"['Action', 'Sci-Fi']",Not Rated, ~data not found~ ,IMDB
Dolittle,https://www.imdb.com/title/tt6673612/,5.6,37347,101.0,"['Adventure', 'Comedy', 'Family']",PG,26,IMDB
The Grudge,https://www.imdb.com/title/tt3612126/,4.2,16138,94.0,"['Horror', 'Mystery']",R,41,IMDB
Tolo Tolo,https://www.imdb.com/title/tt10413566/,6.0,1828,90.0,"['Comedy', 'Family']",, ~data not found~ ,IMDB
Ghost Stories,https://www.imdb.com/title/tt10230404/,4.3,3873,144.0,"['Horror', 'Thriller']",, ~data not found~ ,IMDB
Good Newwz,https://www.imdb.com/title/tt8504014/,7.0,12401,134.0,"['Comedy', 'Drama']",Not Rated, ~data not found~ ,IMDB
Avane Srimannarayana,https://www.imdb.com/title/tt7998242/,7.9,4335,174.0,"['Action', 'Comedy']",Not Rated, ~data not found~ ,IMDB
5Gang,https://www.imdb.com/title/tt11529348/,1.6,2150,100.0,"['Action', 'Comedy']",, ~data not found~ ,IMDB
Sillu Karuppatti,https://www.imdb.com/title/tt9614988/,8.3,1042,153.0,"['Drama', 'Romance']",, ~data not found~ ,IMDB
The App,https://www.imdb.com/title/tt11385066/,2.6,1008,78.0,"['Drama', 'Sci-Fi', 'Thriller']",, ~data not found~ ,IMDB
My Mom is a Character 3,https://www.imdb.com/title/tt10611372/,7.1,1466,111.0,['Comedy'],, ~data not found~ ,IMDB
Tunnelen,https://www.imdb.com/title/tt9049042/,6.3,1087,105.0,"['Drama', 'Thriller']",, ~data not found~ ,IMDB
Miracle in Cell No. 7,https://www.imdb.com/title/tt10845262/,7.5,1527,120.0,['Drama'],, ~data not found~ ,IMDB
Mathu Vadalara,https://www.imdb.com/title/tt11469744/,8.3,1994,130.0,"['Comedy', 'Crime', 'Thriller']",, ~data not found~ ,IMDB
Como CaÃ­do Del Cielo,https://www.imdb.com/title/tt10946934/,6.3,1033,112.0,"['Comedy', 'Drama', 'Musical']",TV-14, ~data not found~ ,IMDB
Driving Licence,https://www.imdb.com/title/tt9264336/,7.2,1715,135.0,"['Comedy', 'Drama', 'Thriller']",, ~data not found~ ,IMDB
Dabangg 3,https://www.imdb.com/title/tt7059844/,3.3,8619,160.0,"['Action', 'Comedy']",Not Rated, ~data not found~ ,IMDB
Togo,https://www.imdb.com/title/tt5116302/,8.0,29443,113.0,"['Adventure', 'Biography', 'Drama']",PG,69,IMDB
Prathi Poovankozhi,https://www.imdb.com/title/tt11312700/,7.4,1065,102.0,"['Drama', 'Thriller']",, ~data not found~ ,IMDB
My Hero Academia: Heroes Rising,https://www.imdb.com/title/tt11107074/,8.0,1796,104.0,"['Animation', 'Action', 'Adventure']",PG-13,70,IMDB
Thambi,https://www.imdb.com/title/tt10468636/,6.8,1223,149.0,"['Action', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Pinocchio,https://www.imdb.com/title/tt8333746/,6.4,3210,120.0,"['Drama', 'Fantasy']",, ~data not found~ ,IMDB
Ip Man 4: The Finale,https://www.imdb.com/title/tt2076298/,7.1,18367,107.0,"['Action', 'Biography', 'Drama']",Unrated,62,IMDB
Ashfall,https://www.imdb.com/title/tt11285908/,6.3,1841,130.0,"['Action', 'Drama', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Eftyhia,https://www.imdb.com/title/tt10710246/,8.1,2212,123.0,['Biography'],, ~data not found~ ,IMDB
La dea fortuna,https://www.imdb.com/title/tt10256570/,5.9,1051,114.0,['Drama'],, ~data not found~ ,IMDB
Hero,https://www.imdb.com/title/tt10709232/,6.4,1246,164.0,"['Action', 'Drama', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Cats,https://www.imdb.com/title/tt5697572/,2.7,34893,110.0,"['Comedy', 'Drama', 'Family']",PG,32,IMDB
Star Wars: The Rise Of Skywalker,https://www.imdb.com/title/tt2527338/,6.7,340305,142.0,"['Action', 'Adventure', 'Fantasy']",PG-13,53,IMDB
GÃ¼zelligin Portresi,https://www.imdb.com/title/tt9520140/,6.4,1851,127.0,"['Drama', 'Horror', 'Thriller']",, ~data not found~ ,IMDB
After She Wakes,https://www.imdb.com/title/tt8997134/,5.4,1158,78.0,"['Horror', 'Thriller']",, ~data not found~ ,IMDB
The Body,https://www.imdb.com/title/tt8130904/,5.4,2445,101.0,"['Mystery', 'Thriller']",, ~data not found~ ,IMDB
Bombshell,https://www.imdb.com/title/tt6394270/,6.8,65531,109.0,"['Biography', 'Drama']",R,64,IMDB
Mardaani 2,https://www.imdb.com/title/tt5668770/,7.4,6576,103.0,"['Action', 'Crime', 'Drama']",Not Rated, ~data not found~ ,IMDB
Mamangam,https://www.imdb.com/title/tt7537738/,6.5,2202,157.0,"['Action', 'Drama', 'History']",, ~data not found~ ,IMDB
Saving ZoÃ«,https://www.imdb.com/title/tt7319822/,5.3,1383,95.0,"['Crime', 'Drama', 'Mystery']",R, ~data not found~ ,IMDB
Jak zostalem gangsterem. Historia prawdziwa,https://www.imdb.com/title/tt10804178/,7.1,1052,140.0,"['Crime', 'Drama']",, ~data not found~ ,IMDB
Black Christmas,https://www.imdb.com/title/tt10481868/,3.2,8274,92.0,"['Horror', 'Mystery', 'Thriller']",PG-13,49,IMDB
6 Underground,https://www.imdb.com/title/tt8106534/,6.1,126137,128.0,"['Action', 'Comedy', 'Thriller']",R,41,IMDB
The Wave,https://www.imdb.com/title/tt4354756/,6.0,2234,90.0,"['Sci-Fi', 'Thriller']",R,51,IMDB
Little Women,https://www.imdb.com/title/tt3281548/,7.9,115866,135.0,"['Drama', 'Romance']",PG,91,IMDB
Pati Patni Aur Woh,https://www.imdb.com/title/tt9680136/,5.8,5004,126.0,"['Comedy', 'Romance']",Not Rated, ~data not found~ ,IMDB
Trauma Center,https://www.imdb.com/title/tt9625664/,4.7,5347,87.0,"['Action', 'Thriller']",R, ~data not found~ ,IMDB
Panipat,https://www.imdb.com/title/tt8176040/,5.4,3784,165.0,"['Action', 'Drama', 'History']",Not Rated, ~data not found~ ,IMDB
Dropa,https://www.imdb.com/title/tt1822395/,6.3,1942,101.0,"['Drama', 'Sci-Fi', 'Thriller']",, ~data not found~ ,IMDB
A Christmas Prince: The Royal Baby,https://www.imdb.com/title/tt10006006/,5.3,3759,84.0,"['Family', 'Romance']",TV-PG, ~data not found~ ,IMDB
1917,https://www.imdb.com/title/tt8579674/,8.3,345713,119.0,"['Drama', 'War']",R,78,IMDB
Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/,6.7,159275,123.0,"['Action', 'Adventure', 'Comedy']",PG-13,58,IMDB
Spies in Disguise,https://www.imdb.com/title/tt5814534/,6.8,26067,102.0,"['Animation', 'Adventure', 'Comedy']",PG,54,IMDB
The Gentlemen,https://www.imdb.com/title/tt8367814/,7.9,163693,113.0,"['Action', 'Comedy', 'Crime']",R,51,IMDB
Damayanthi,https://www.imdb.com/title/tt9766160/,8.4,1074,161.0,['Drama'],, ~data not found~ ,IMDB
Commando 3,https://www.imdb.com/title/tt8983168/,5.5,1800,133.0,"['Action', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Yeh Saali Aashiqui,https://www.imdb.com/title/tt10443846/,7.9,2178,137.0,['Thriller'],, ~data not found~ ,IMDB
Holiday Rush,https://www.imdb.com/title/tt10091530/,4.8,1611,92.0,"['Comedy', 'Romance']",TV-PG, ~data not found~ ,IMDB
Enai Noki Paayum Thota,https://www.imdb.com/title/tt5483626/,5.7,1211,153.0,"['Action', 'Drama', 'Romance']",Not Rated, ~data not found~ ,IMDB
Kholop,https://www.imdb.com/title/tt11418452/,6.7,2446,109.0,['Comedy'],Not Rated, ~data not found~ ,IMDB
Les traducteurs,https://www.imdb.com/title/tt6270534/,6.4,2064,105.0,"['Mystery', 'Thriller']",, ~data not found~ ,IMDB
Cep HerkÃ¼lÃ¼: Naim SÃ¼leymanoglu,https://www.imdb.com/title/tt9500372/,8.7,2332,141.0,"['Biography', 'Drama', 'Sport']",, ~data not found~ ,IMDB
Pagalpanti,https://www.imdb.com/title/tt9495690/,3.1,1761,149.0,"['Action', 'Comedy']",Not Rated, ~data not found~ ,IMDB
3022,https://www.imdb.com/title/tt9465600/,4.7,3180,91.0,['Sci-Fi'],R, ~data not found~ ,IMDB
Blue Story,https://www.imdb.com/title/tt9285882/,5.8,2175,91.0,"['Crime', 'Drama']",R,69,IMDB
The Courier,https://www.imdb.com/title/tt9207616/,4.9,4804,99.0,"['Action', 'Crime', 'Drama']",R,15,IMDB
Kettiyollaanu Ente Maalakha,https://www.imdb.com/title/tt10452480/,7.6,1225,135.0,"['Comedy', 'Drama']",, ~data not found~ ,IMDB
The Knight Before Christmas,https://www.imdb.com/title/tt10060094/,5.5,12034,92.0,"['Adventure', 'Comedy', 'Drama']",TV-PG, ~data not found~ ,IMDB
Richard Jewell,https://www.imdb.com/title/tt3513548/,7.5,44098,131.0,"['Biography', 'Crime', 'Drama']",R,68,IMDB
Koma,https://www.imdb.com/title/tt6087226/,6.5,2338,111.0,"['Action', 'Adventure', 'Fantasy']",, ~data not found~ ,IMDB
Penoza: The Final Chapter,https://www.imdb.com/title/tt9272572/,6.4,1163,116.0,"['Crime', 'Drama', 'Thriller']",, ~data not found~ ,IMDB
Marjaavaan,https://www.imdb.com/title/tt9248934/,3.5,2461,152.0,"['Action', 'Drama', 'Romance']",Not Rated, ~data not found~ ,IMDB
Motichoor Chaknachoor,https://www.imdb.com/title/tt9172840/,5.8,1939,150.0,"['Comedy', 'Romance']",, ~data not found~ ,IMDB
The Silence of the Marsh,https://www.imdb.com/title/tt8743032/,4.9,2814,92.0,['Thriller'],, ~data not found~ ,IMDB
Grand Isle,https://www.imdb.com/title/tt8380776/,4.5,1666,97.0,"['Action', 'Thriller']",,29,IMDB
The Turkey Bowl,https://www.imdb.com/title/tt7919810/,6.0,1188,120.0,['Comedy'],R, ~data not found~ ,IMDB
Radioflash,https://www.imdb.com/title/tt7288408/,5.6,2071,103.0,"['Action', 'Drama', 'Sci-Fi']",Unrated,34,IMDB
Line of Duty,https://www.imdb.com/title/tt3541524/,5.3,3751,98.0,"['Action', 'Crime', 'Thriller']",R,50,IMDB
House Arrest,https://www.imdb.com/title/tt11163028/,5.5,1253,104.0,['Comedy'],, ~data not found~ ,IMDB
Helen,https://www.imdb.com/title/tt10735202/,7.7,1713,117.0,"['Drama', 'Thriller']",, ~data not found~ ,IMDB
