Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Fists of the White Lotus,https://www.imdb.com/title/tt0080905/,7.3,1315,95.0,"['Action', 'Drama']",PG-13,,IMDB
Erkek GÃ¼zeli Sefil Bilo,https://www.imdb.com/title/tt1134817/,6.9,2234,80.0,"['Comedy', 'Drama']",,,IMDB
Ne Olacak Simdi,https://www.imdb.com/title/tt0469802/,7.6,2555,83.0,"['Comedy', 'Romance']",,,IMDB
Umudumuz Saban,https://www.imdb.com/title/tt0253860/,7.2,3009,83.0,['Comedy'],,,IMDB
Sark BÃ¼lbÃ¼lÃ¼,https://www.imdb.com/title/tt0253637/,7.6,3625,89.0,"['Comedy', 'Drama']",,,IMDB
Korkusuz Korkak,https://www.imdb.com/title/tt0252611/,8.1,5558,77.0,"['Adventure', 'Comedy']",,,IMDB
Dokunmayin Sabanima,https://www.imdb.com/title/tt0252389/,7.3,3629,79.0,"['Comedy', 'Romance']",,,IMDB
BekÃ§iler Krali,https://www.imdb.com/title/tt0252269/,7.7,5698,82.0,['Comedy'],,,IMDB
Return of the Secaucus Seven,https://www.imdb.com/title/tt0081420/,6.9,1884,104.0,['Drama'],R,,IMDB
Savage Weekend,https://www.imdb.com/title/tt0079855/,4.5,1259,88.0,['Horror'],R,,IMDB
Arrebato,https://www.imdb.com/title/tt0078797/,7.0,2031,105.0,"['Drama', 'Fantasy', 'Horror']",,,IMDB
Olsen-banden overgiver sig aldrig,https://www.imdb.com/title/tt0079662/,6.9,1433,108.0,"['Comedy', 'Crime', 'Family']",Not Rated,,IMDB
Going in Style,https://www.imdb.com/title/tt0079219/,7.1,2817,97.0,"['Comedy', 'Crime', 'Drama']",PG,65.0,IMDB
Scavenger Hunt,https://www.imdb.com/title/tt0079858/,6.0,2401,116.0,['Comedy'],PG,,IMDB
Cuba,https://www.imdb.com/title/tt0079013/,5.7,2350,122.0,"['Adventure', 'Romance', 'Thriller']",R,,IMDB
Being There,https://www.imdb.com/title/tt0078841/,8.0,63960,130.0,"['Comedy', 'Drama']",PG,83.0,IMDB
Roller Boogie,https://www.imdb.com/title/tt0079822/,4.5,1545,103.0,"['Drama', 'Music']",PG,,IMDB
The Magnificent Butcher,https://www.imdb.com/title/tt0079472/,7.3,2110,108.0,"['Action', 'Comedy', 'Drama']",PG-13,,IMDB
I... comme Icare,https://www.imdb.com/title/tt0079322/,7.9,3475,120.0,"['Crime', 'Drama', 'Mystery']",,,IMDB
Buffet froid,https://www.imdb.com/title/tt0078913/,7.4,4861,89.0,"['Comedy', 'Crime']",Not Rated,,IMDB
