Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
1,Citizen Kane,1.0,"Drama,                                                                                    Mystery",Approved,119 min,"Release Date:September 4, 1941"
2,The Godfather,1.0,"Drama,                                                                                    Thriller,                                                                                    Crime",R,175 min,"Release Date:March 11, 1972"
3,Rear Window,1.0,"Mystery,                                                                                    Thriller",TV-G,112 min,"Release Date:September 1, 1954"
4,Casablanca,1.0,"Drama,                                                                                    Romance,                                                                                    War",Rated PG for mild violence (1992),102 min,"Release Date:January 23, 1943"
5,Boyhood,1.0,Drama,"Rated R for language including  sexual references, and for teen drug and  alcohol use",165 min,"Release Date:July 11, 2014"
6,Three Colors: Red,1.0,"Drama,                                                                                    Mystery,                                                                                    Romance",Rated R for a brief but strong sex scene,99 min,"Release Date:November 23, 1994"
7,Vertigo,1.0,"Mystery,                                                                                    Thriller,                                                                                    Romance",PG,128 min,"Release Date:May 28, 1958"
8,Notorious,1.0,"Drama,                                                                                    Thriller,                                                                                    Romance,                                                                                    Film-Noir",Approved,101 min,"Release Date:September 6, 1946"
9,Singin' in the Rain,0.99,"Comedy,                                                                                    Romance,                                                                                    Musical",G,103 min,"Release Date:April 11, 1952"
10,City Lights,0.99,"Drama,                                                                                    Comedy,                                                                                    Romance",Passed,87 min,"Release Date:March 7, 1931"
11,Moonlight,0.99,Drama,Not Rated,111 min,"Release Date:October 21, 2016"
12,Intolerance,0.99,"Drama,                                                                                    History",Not Rated,197 min,"Release Date:September 5, 1916"
13,Pinocchio,0.99,"Fantasy,                                                                                    Comedy,                                                                                    Animation,                                                                                    Family,                                                                                    Musical",Passed,88 min,"Release Date:February 23, 1940"
14,Touch of Evil,0.99,"Drama,                                                                                    Thriller,                                                                                    Crime,                                                                                    Film-Noir",Rated PG-13 for some violence and drug content,95 min,"Release Date:February 1, 1958"
15,The Treasure of the Sierra Madre,0.98,"Adventure,                                                                                    Drama,                                                                                    Western",TV-PG,126 min,"Release Date:January 24, 1948"
16,Pan's Labyrinth,0.98,"Drama,                                                                                    Mystery,                                                                                    Thriller,                                                                                    Fantasy,                                                                                    War",Rated R for graphic violence and some language.,118 min,"Release Date:December 29, 2006"
17,Some Like It Hot,0.98,"Comedy,                                                                                    Romance",Approved,121 min,"Release Date:March 29, 1959"
18,North by Northwest,0.98,"Action,                                                                                    Adventure,                                                                                    Mystery,                                                                                    Thriller",TV-G,136 min,"Release Date:August 6, 1959"
19,Rashomon,0.98,"Drama,                                                                                    Mystery,                                                                                    Crime",Not Rated,88 min,"Release Date:December 26, 1951"
20,All About Eve,0.98,Drama,TV-PG,138 min,"Release Date:October 27, 1950"
21,Hoop Dreams,0.98,"Drama,                                                                                    Sport,                                                                                    Documentary",Rated PG-13 for drug content and some strong language,170 min,"Release Date:October 14, 1994"
22,Jules and Jim,0.97,"Drama,                                                                                    Romance",Not Rated,105 min,"Release Date:April 23, 1962"
23,The Wild Bunch,0.97,"Action,                                                                                    Adventure,                                                                                    Western",R,135 min,"Release Date:June 18, 1969"
24,My Left Foot,0.97,"Biography,                                                                                    Drama",R,103 min,"Release Date:March 30, 1990"
25,The Third Man,0.97,"Mystery,                                                                                    Thriller,                                                                                    Film-Noir",Approved,104 min,"Release Date:September 3, 1949"
26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.97,"Drama,                                                                                    Thriller","Rated PG for thematic elements, some violent content, sexual humor and mild language. (2005 re-rating)",95 min,"Release Date:January 29, 1964"
27,Gone with the Wind,0.97,"Drama,                                                                                    History,                                                                                    Romance,                                                                                    War",TV-PG,238 min,"Release Date:January 17, 1940"
28,"4 Months, 3 Weeks and 2 Days",0.97,Drama,Not Rated,113 min,"Release Date:January 23, 2008"
29,Psycho,0.97,"Mystery,                                                                                    Thriller,                                                                                    Horror",M,109 min,"Release Date:September 8, 1960"
30,A Streetcar Named Desire,0.97,Drama,M/PG,122 min,"Release Date:September 19, 1951"
31,American Graffiti,0.97,"Drama,                                                                                    Comedy",PG,110 min,"Release Date:August 11, 1973"
32,Dumbo,0.96,"Drama,                                                                                    Animation,                                                                                    Family,                                                                                    Musical",Approved,64 min,"Release Date:October 31, 1941"
33,Roma,0.96,Drama,Not Rated,135 min,"Release Date:November 21, 2018"
34,Killer of Sheep,0.96,Drama,Not Rated,80 min,"Release Date:March 30, 2007"
35,Ran,0.96,"Action,                                                                                    Drama,                                                                                    War",R,162 min,"Release Date:December 20, 1985"
36,The Shop Around the Corner,0.96,"Drama,                                                                                    Comedy,                                                                                    Romance",Passed,99 min,"Release Date:January 12, 1940"
37,12 Angry Men,0.96,"Drama,                                                                                    Crime",TV-PG,96 min,"Release Date:April 1, 1957"
38,Manchester by the Sea,0.96,Drama,Rated R for language throughout and some sexual content,137 min,"Release Date:November 18, 2016"
39,Rosemary's Baby,0.96,"Drama,                                                                                    Horror",Approved,137 min,"Release Date:June 12, 1968"
40,The Maltese Falcon,0.96,"Mystery,                                                                                    Film-Noir",TV-PG,100 min,"Release Date:October 18, 1941"
41,12 Years a Slave,0.96,"Biography,                                                                                    Drama,                                                                                    History","Rated R for violence/cruelty, some nudity and brief sexuality",134 min,"Release Date:October 18, 2013"
42,Nashville,0.96,"Drama,                                                                                    Comedy,                                                                                    Music",R,160 min,"Release Date:June 11, 1975"
43,Ratatouille,0.96,"Fantasy,                                                                                    Comedy,                                                                                    Animation,                                                                                    Family",G,111 min,"Release Date:June 29, 2007"
