Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
Black Is King,100%,43,93%,"2,779"
Raat Akeli Hai,N/A,N/A,N/A,N/A
Shakuntala Devi,100%,5,67%,6
Lootcase,N/A,N/A,N/A,N/A
Yaara (no page found),N/A,N/A,N/A,N/A
Deep Blue Sea 3,71%,7,44%,32
The Kissing Booth 2,27%,33,44%,533
Dil Bechara,82%,11,N/A,N/A
Offering to the Storm (Ofrenda a la Tormenta),N/A,N/A,67%,6
4 Dead Girls: The Soul Taker,N/A,N/A,20%,23
The Silencing,N/A,N/A,N/A,N/A
Ghosts of War,36%,36,51%,39
Virgin Bhanupriya (no page found),N/A,N/A,N/A,N/A
Fatal Affair,N/A,N/A,N/A,N/A
Unhinged,N/A,N/A,25%,636
Train to Busan Presents: Peninsula,40%,5,N/A,N/A
The Old Guard,80%,232,71%,"2,555"
Archive,74%,23,N/A,N/A
Greyhound,79%,195,76%,"1,095"
Commander Hamilton,N/A,N/A,40%,62
The Desperados,N/A,N/A,33%,174
The F**k-It List,0%,5,22%,36
Under the Riccione Sun,N/A,N/A,N/A,N/A
Force of Nature,N/A,N/A,N/A,N/A
Irresistible,20%,10,32%,"2,728"
Eurovision Song Contest: The Story of Fire Saga,64%,163,79%,"2,382"
The Outpost,N/A,N/A,N/A,N/A
Bulbbul,81%,16,86%,7
Chaman Bahaar (no page found),N/A,N/A,N/A,N/A
Penguin,N/A,N/A,N/A,N/A
Feel the Beat,46%,13,57%,98
Lost Bullet (Bala Perdida),N/A,N/A,N/A,N/A
You Should Have Left,41%,106,24%,234
A Whisker Away (Nakitai Watashi wa Neko wo Kaburu),92%,13,83%,76
Da 5 Bloods,92%,267,53%,"1,646"
The King of Staten Island,73%,258,85%,"1,474"
Infamous,73%,154,69%,"20,725"
Artemis Fowl,9%,159,19%,"2,113"
Gulabo Sitabo,73%,15,58%,40
Chintu Ka Birthday,N/A,N/A,N/A,N/A
The Last Days of American Crime,0%,42,24%,381
Ga-si (Choked),N/A,N/A,N/A,N/A
Becky,70%,100,60%,313
Dating Amber,95%,19,88%,67
The High Note,69%,163,75%,229
Gabriel's Inferno (no page found),N/A,N/A,N/A,N/A
Ponmagal Vandhal,N/A,N/A,N/A,N/A
The Dinner Party,N/A,N/A,12%,36
Intuition (La Corazonada),17%,6,35%,26
The Lovebirds,N/A,N/A,N/A,N/A
Louisa May Alcott's 'The Inheritance',N/A,N/A,76%,892
Ghoomketu,N/A,N/A,N/A,N/A
Survive the Night,N/A,N/A,N/A,N/A
Last Moment of Clarity,N/A,N/A,N/A,N/A
Proximity,N/A,N/A,16%,101
Scoob! (no page found),N/A,N/A,N/A,N/A
The Wrong Missy,34%,56,52%,923
Capone,N/A,N/A,N/A,N/A
Choke,55%,142,52%,"35,005"
Valley Girl,55%,49,90%,294
Arkansas,47%,62,N/A,N/A
The Half of It,97%,89,80%,689
All Day and a Night,56%,34,63%,97
Mrs. Serial Killer,17%,12,56%,50
Rich in Love,N/A,N/A,N/A,N/A
Dangerous Lies (Windfall),25%,28,21%,274
Extraction,N/A,N/A,27%,89
The Willoughbys,90%,63,64%,438
Nathan's Kingdom,N/A,N/A,85%,14
Rising High (Betonrausch),33%,9,50%,14
Bad Trip,N/A,N/A,N/A,N/A
The Quarry,40%,45,44%,25
Earth And Blood (La terre et le sang),N/A,N/A,19%,21
Sputnik,N/A,N/A,N/A,N/A
Nobody Knows I'm Here (Nadie Sabe que estoy Aquí),80%,15,74%,92
Light from the Tower (no page found),N/A,N/A,N/A,N/A
Mortal Kombat Legends: Scorpion's Revenge,89%,18,85%,269
Tigertail,80%,75,68%,123
Love Wedding Repeat,32%,66,36%,322
Bamfaad,N/A,N/A,N/A,N/A
The Main Event,26%,19,23%,57
Axcellerator,N/A,N/A,N/A,N/A
Coffee & Kareem,20%,69,N/A,N/A
Shooting Heroin,44%,9,95%,154
At Sachem Farm (Uncorked) (Trade Winds) (Higher Love),N/A,N/A,88%,585
Body Cam,39%,23,45%,40
Maska,17%,6,29%,7
The Occupant (Hogar),64%,22,45%,105
Nobody Sleeps in the Woods Tonight (no page found),N/A,N/A,N/A,N/A
Altered Carbon: Resleeved,60%,5,50%,84
Stargirl,71%,38,62%,64
The Postcard Killings,24%,21,N/A,N/A
Trolls World Tour,70%,146,60%,947
I Still Believe,50%,44,98%,"1,843"
Angrezi Medium (no page found),N/A,N/A,N/A,N/A
The Hunt,56%,236,66%,954
Ultras,60%,5,36%,36
Resistance,56%,86,60%,81
Spenser Confidential,36%,80,54%,"1,048"
Baaghi 3,0%,11,67%,76
The Banker,77%,71,100%,90
Kappela (no page found),N/A,N/A,N/A,N/A
The Guilty,40%,5,42%,368
The Hater (Hejter),67%,12,80%,35
The Way Back,74%,137,72%,"33,795"
Die KÃÂÃÂ¤nguru-Chroniken (no page found),N/A,N/A,N/A,N/A
Bloodshot (In a Heartbeat),N/A,N/A,N/A,N/A
The Trip to Greece,87%,110,57%,53
Escape from Pretoria,69%,39,N/A,N/A
Kannum Kannum Kollaiyadithaal (no page found),N/A,N/A,N/A,N/A
All the Bright Places,66%,38,60%,241
Draupathi (no page found),N/A,N/A,N/A,N/A
Hit!,N/A,N/A,40%,24
Doordarshan (no page found),N/A,N/A,N/A,N/A
Thappad,93%,14,71%,91
Forensic,N/A,N/A,N/A,N/A
The Decline (Jusqu'au déclin),89%,9,67%,129
Favolacce,N/A,N/A,N/A,N/A
The Invisible Man,91%,382,88%,"11,911"
Time to Hunt,64%,14,70%,23
Impractical Jokers: The Movie,35%,26,76%,"2,273"
Onward,88%,318,95%,"8,600"
Bheeshma,N/A,N/A,89%,229
Miami Bici (no page found),N/A,N/A,N/A,N/A
Mafia: Chapter 1 (no page found),N/A,N/A,N/A,N/A
Bhoot: Part One - The Haunted Ship (no page found),N/A,N/A,N/A,N/A
Shubh Mangal Zyada Saavdhan,92%,13,73%,195
The Fan (Der Fan),N/A,N/A,N/A,N/A
Bayi Toplantisi (no page found),N/A,N/A,N/A,N/A
Brahms: The Boy II,9%,55,44%,"1,304"
The Night Clerk (Avant L'aube),N/A,N/A,50%,75
The Call of the Wild,62%,195,89%,"9,360"
Isi & Ossi,N/A,N/A,76%,50
The Photograph,N/A,N/A,61%,87
Spy Intervention,33%,6,50%,18
Sufna,N/A,N/A,86%,43
Oh My Kadavule (no page found),N/A,N/A,N/A,N/A
Zenek,N/A,N/A,N/A,N/A
Emma,N/A,N/A,N/A,N/A
World Famous Lover,N/A,N/A,N/A,N/A
To All the Boys: P.S. I Still Love You,75%,71,40%,459
Love Aaj Kal,N/A,N/A,59%,"3,690"
Fantasy Island,N/A,N/A,83%,18
Malang,44%,9,80%,59
Ayyappanum Koshiyum (no page found),N/A,N/A,N/A,N/A
Dia (no page found),N/A,N/A,N/A,N/A
Shikara,50%,10,N/A,N/A
365 Days (365 dni),0%,14,30%,"1,068"
Varane Avashyamund,N/A,N/A,69%,13
Cupid,N/A,N/A,20%,38
Adú,80%,5,82%,28
Jawaani Jaaneman,69%,13,53%,15
Love Mocktail (no page found),N/A,N/A,N/A,N/A
Gretel & Hansel,65%,96,23%,"2,276"
Eltilerin Savasi (no page found),N/A,N/A,N/A,N/A
Kartoffelsalat 3 - Das Musical (no page found),N/A,N/A,N/A,N/A
Klovn the Final (no page found),N/A,N/A,N/A,N/A
I Hate Summer (no page found),N/A,N/A,N/A,N/A
Sergio,43%,46,51%,154
Lost Girls,N/A,N/A,N/A,N/A
The Last Thing He Wanted,5%,55,N/A,N/A
The Rhythm Section,28%,169,44%,"1,134"
Horse Girl,71%,55,47%,399
The Windermere Children,100%,10,N/A,N/A
Palm Springs,94%,170,89%,"1,208"
Downhill,89%,9,57%,69
Wendy,37%,95,75%,16
The Relic,34%,32,34%,"26,750"
Shirley,87%,190,58%,211
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),78%,404,78%,"15,708"
Timmy Failure: Mistakes Were Made,86%,28,66%,121
Possessor,93%,28,N/A,N/A
Sonic the Hedgehog,62%,231,93%,"19,416"
"Te quiero, imbÃÂÃÂ©cil (no page found)",N/A,N/A,N/A,N/A
Psycho,96%,99,95%,"240,040"
Panga,94%,17,83%,87
Cindy La Regia (no page found),N/A,N/A,N/A,N/A
John Henry,0%,20,22%,150
Never Rarely Sometimes Always,99%,184,72%,177
Street Dancer 3D (no page found),N/A,N/A,N/A,N/A
The Turning,86%,28,54%,"2,586"
Dwitiyo Purush,N/A,N/A,N/A,N/A
Airplane Mode,N/A,N/A,64%,14
Shylock,N/A,N/A,N/A,N/A
Karakomik Filmler: Deli (no page found),N/A,N/A,N/A,N/A
A Fall From Grace,20%,5,N/A,N/A
Karakomik Filmler: Emanet (no page found),N/A,N/A,N/A,N/A
Go Karts (Go!),78%,9,67%,48
MalasaÃÂÃÂ±a 32 (no page found),N/A,N/A,N/A,N/A
The Heist of the Century (El robo del siglo),N/A,N/A,N/A,N/A
Chhapaak,88%,17,85%,93
Ala Vaikunthapurramuloo,N/A,N/A,N/A,N/A
Sarileru Neekevvaru,N/A,N/A,64%,530
Anjaam Pathiraa (no page found),N/A,N/A,N/A,N/A
Biz BÃÂÃÂ¶yleyiz (no page found),N/A,N/A,N/A,N/A
My Spy,47%,116,65%,525
Tanhaji: The Unsung Warrior,73%,11,89%,724
Masameer: the Movie,N/A,N/A,N/A,N/A
Darbar,57%,7,N/A,N/A
Like a Boss,21%,146,65%,"3,422"
Underwater!,N/A,N/A,15%,28
Bad Boys for Life,77%,257,96%,"42,946"
Miss Fisher and the Crypt of Tears,65%,20,N/A,N/A
Inmate Zero,N/A,N/A,38%,13
Mark of the Devil,33%,6,46%,"1,791"
Lao ma ti hua (Disturbing the Peace),N/A,N/A,N/A,N/A
18 Presents (18 Regali),60%,5,N/A,N/A
The Invasion,19%,163,40%,"236,126"
Dolittle,14%,226,76%,"11,522"
The Grudge,40%,162,46%,"458,680"
Tolo Tolo (no page found),N/A,N/A,N/A,N/A
Ghost Stories,33%,9,17%,42
The Invasion,19%,163,40%,"236,126"
Dolittle,14%,226,76%,"11,522"
The Grudge,40%,162,46%,"458,680"
Tolo Tolo (no page found),N/A,N/A,N/A,N/A
Ghost Stories,33%,9,17%,42
Good Newwz,75%,16,67%,27
Avane Srimannarayana (no page found),N/A,N/A,N/A,N/A
5Gang (no page found),N/A,N/A,N/A,N/A
Sillu Karuppatti (no page found),N/A,N/A,N/A,N/A
The App,N/A,N/A,0%,22
My Mom is a Character 3 (no page found),N/A,N/A,N/A,N/A
Tunnelen (no page found),N/A,N/A,N/A,N/A
Miracle in Cell No. 7,N/A,N/A,89%,706
Mathu Vadalara,N/A,N/A,100%,5
Como CaÃÂÃÂ­do Del Cielo (no page found),N/A,N/A,N/A,N/A
Driving Licence (no page found),N/A,N/A,N/A,N/A
Dabangg 3,20%,15,46%,356
