Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
1,The Shawshank Redemption,0.9222388344153165,Drama,R,2h 22min,14 October 1994 (USA)
2,The Godfather,0.9149005669441772,"Crime, Drama",R,2h 55min,24 March 1972 (USA)
3,The Godfather: Part II,0.8981144756546013,"Crime, Drama",R,3h 22min,18 December 1974 (USA)
4,The Dark Knight,0.8972006409778261,"Action, Crime, Drama",PG-13,2h 32min,18 July 2008 (USA)
5,12 Angry Men,0.8928585523333454,"Crime, Drama",Approved,1h 36min,10 April 1957 (USA)
6,Schindler's List,0.8905541924839963,"Biography, Drama, History",R,3h 15min,4 February 1994 (USA)
7,The Lord of the Rings: The Return of the King,0.8882413930180194,"Adventure, Drama, Fantasy",PG-13,3h 21min,17 December 2003 (USA)
8,Pulp Fiction,0.8846415485231981,"Crime, Drama",R,2h 34min,14 October 1994 (USA)
9,"The Good, the Bad and the Ugly",0.8797621394733625,Western,R,2h 58min,29 December 1967 (USA)
10,The Lord of the Rings: The Fellowship of the Ring,0.8774635122623288,"Action, Adventure, Drama",PG-13,2h 58min,19 December 2001 (USA)
11,Fight Club,0.8768199931062668,Drama,R,2h 19min,15 October 1999 (USA)
12,Forrest Gump,0.8752581713408174,"Drama, Romance",PG-13,2h 22min,6 July 1994 (USA)
13,Inception,0.8719045433690555,"Action, Adventure, Sci-Fi",PG-13,2h 28min,16 July 2010 (USA)
14,Star Wars: Episode V - The Empire Strikes Back,0.8700047487221184,"Action, Adventure, Fantasy",PG,2h 4min,20 June 1980 (USA)
15,The Lord of the Rings: The Two Towers,0.8697932358481341,"Adventure, Drama, Fantasy",PG-13,2h 59min,18 December 2002 (USA)
16,The Matrix,0.8648437672112299,"Action, Sci-Fi",R,2h 16min,31 March 1999 (USA)
17,Goodfellas,0.8643412117102185,"Biography, Crime, Drama",R,2h 26min,21 September 1990 (USA)
18,One Flew Over the Cuckoo's Nest,0.8640230494662633,Drama,R,2h 13min,19 November 1975 (USA)
19,Seven Samurai,0.8603303985315962,"Action, Adventure, Drama",Not Rated,3h 27min,19 November 1956 (USA)
