Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
1,Black Panther,0.96,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","PG-13 (for prolonged sequences of action violence, and a brief rude gesture)",135 minutes,"Feb 16, 2018
                        
 wide"
2,Avengers: Endgame,0.94,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","PG-13 (for sequences of sci-fi violence and action, and some language)",182 minutes,"Apr 26, 2019
                        
 wide"
3,Us,0.93,"Horror,                                                   Mystery & Suspense","R (for violence/terror, and language)",120 minutes,"Mar 22, 2019
                        
 wide"
4,Toy Story 4,0.97,"Animation,                                                   Comedy,                                                   Kids & Family,                                                   Science Fiction & Fantasy",G,90 minutes,"Jun 21, 2019
                        
 wide"
5,The Wizard of Oz,0.98,"Classics,                                                   Kids & Family,                                                   Musical & Performing Arts,                                                   Science Fiction & Fantasy",G (for some scary moments),101 minutes,"Aug 25, 1939
                        
 wide"
6,Mission: Impossible - Fallout,0.97,"Action & Adventure,                                                   Drama,                                                   Mystery & Suspense","PG-13 (for violence and intense sequences of action, and for brief strong language)",147 minutes,"Jul 27, 2018
                        
 wide"
7,Lady Bird,0.99,"Comedy,                                                   Drama","R (for language, sexual content, brief graphic nudity and teen partying)",93 minutes,"Nov 3, 2017
                        
 limited"
8,Citizen Kane,1.0,"Classics,                                                   Drama,                                                   Mystery & Suspense",PG,119 minutes,"May 1, 1941
                        
 wide"
9,The Irishman,0.96,"Drama,                                                   Mystery & Suspense",R (for pervasive language and strong violence),209 minutes,"Nov 1, 2019
                        
 limited"
10,BlacKkKlansman,0.96,"Comedy,                                                   Drama","R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)",135 minutes,"Aug 10, 2018
                        
 wide"
11,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),1.0,"Art House & International,                                                   Classics,                                                   Cult Movies,                                                   Horror,                                                   Mystery & Suspense",NR,52 minutes,"Feb 26, 1920
                        
 wide"
12,Get Out,0.98,"Horror,                                                   Mystery & Suspense","R (for violence, bloody images, and language including sexual references)",104 minutes,"Feb 24, 2017
                        
 wide"
13,Casablanca,0.99,"Classics,                                                   Drama,                                                   Romance",PG,102 minutes,"Nov 26, 1942
                        
 wide"
14,Spider-Man: Into the Spider-Verse,0.97,"Action & Adventure,                                                   Animation,                                                   Kids & Family,                                                   Science Fiction & Fantasy","PG (for frenetic sequences of animated action violence, thematic elements, and mild language)",100 minutes,"Dec 14, 2018
                        
 wide"
15,Mad Max: Fury Road,0.97,"Action & Adventure,                                                   Science Fiction & Fantasy","R (for intense sequences of violence throughout, and for disturbing images)",120 minutes,"May 15, 2015
                        
 wide"
16,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",0.97,"Art House & International,                                                   Classics,                                                   Horror,                                                   Science Fiction & Fantasy",NR,63 minutes,"Mar 4, 1922
                        
 wide"
17,Moonlight,0.98,Drama,"R (for some sexuality, drug use, brief violence, and language throughout)",110 minutes,"Oct 21, 2016
                        
 limited"
18,Booksmart,0.97,Comedy,"R (for strong sexual content and language throughout, drug use and drinking - all involving teens)",105 minutes,"May 24, 2019
                        
 wide"
19,A Star Is Born,0.9,Drama,"R (for language throughout, some sexuality/nudity and substance abuse)",135 minutes,"Oct 5, 2018
                        
 wide"
20,Wonder Woman,0.93,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","PG-13 (for sequences of violence and action, and some suggestive content)",141 minutes,"Jun 2, 2017
                        
 wide"
21,The Farewell,0.98,"Comedy,                                                   Drama","PG (for thematic material, brief language and some smoking)",98 minutes,"Aug 9, 2019
                        
 wide"
22,Inside Out,0.98,"Animation,                                                   Kids & Family",PG (for mild thematic elements and some action),94 minutes,"Jun 19, 2015
                        
 wide"
23,A Quiet Place,0.96,"Drama,                                                   Horror,                                                   Mystery & Suspense",PG-13 (for terror and some bloody images),90 minutes,"Apr 6, 2018
                        
 wide"
24,Modern Times,1.0,"Classics,                                                   Comedy",G,87 minutes,"Feb 25, 1936
                        
 wide"
25,The Third Man,0.99,"Classics,                                                   Mystery & Suspense",NR,104 minutes,"Sep 3, 1949
                        
 wide"
26,Eighth Grade,0.99,Comedy,R (for language and some sexual material),94 minutes,"Aug 3, 2018
                        
 wide"
27,It Happened One Night,0.98,"Classics,                                                   Comedy,                                                   Romance",NR,105 minutes,"Feb 22, 1934
                        
 wide"
28,Roma,0.95,Drama,"R (for graphic nudity, some disturbing images, and language)",135 minutes,"Nov 21, 2018
                        
 limited"
29,Dunkirk,0.92,"Action & Adventure,                                                   Drama",PG-13 (for intense war experience and some language),107 minutes,"Jul 21, 2017
                        
 wide"
30,La Grande illusion (Grand Illusion),0.97,"Art House & International,                                                   Classics,                                                   Drama",NR,113 minutes,"Sep 12, 1938
                        
 wide"
31,Coco,0.97,"Action & Adventure,                                                   Animation,                                                   Comedy,                                                   Kids & Family",PG (for thematic elements),109 minutes,"Nov 22, 2017
                        
 wide"
32,The Godfather,0.98,Drama,R (N/A),175 minutes,"Mar 24, 1972
                        
 wide"
33,Spotlight,0.97,"Drama,                                                   Mystery & Suspense",R (for some language including sexual references),129 minutes,"Nov 6, 2015
                        
 limited"
34,Selma,0.99,Drama,"PG-13 (for disturbing thematic material including violence, a suggestive moment, and brief strong language)",127 minutes,"Dec 25, 2014
                        
 limited"
35,Snow White and the Seven Dwarfs,0.98,"Animation,                                                   Classics,                                                   Kids & Family,                                                   Science Fiction & Fantasy",G,83 minutes,"Dec 21, 1937
                        
 wide"
36,Thor: Ragnarok,0.93,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","PG-13 (for intense sequences of sci-fi violence and action, and brief suggestive material)",130 minutes,"Nov 3, 2017
                        
 wide"
37,Singin' in the Rain,1.0,"Classics,                                                   Comedy,                                                   Musical & Performing Arts,                                                   Romance",G,102 minutes,"Jan 1, 1952
                        
 wide"
38,The Shape of Water,0.92,"Drama,                                                   Science Fiction & Fantasy,                                                   Romance","R (for sexual content, graphic nudity, violence and language)",119 minutes,"Dec 22, 2017
                        
 wide"
39,Arrival,0.94,"Drama,                                                   Mystery & Suspense,                                                   Science Fiction & Fantasy",PG-13 (for brief strong language),116 minutes,"Nov 11, 2016
                        
 wide"
40,Spider-Man: Far From Home,0.91,"Action & Adventure,                                                   Science Fiction & Fantasy","PG-13 (for sci-fi action violence, some language and brief suggestive comments)",130 minutes,"Jul 2, 2019
                        
 wide"
41,All About Eve,0.99,"Classics,                                                   Drama",PG,138 minutes,"Jan 1, 1950
                        
 wide"
42,Logan,0.93,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","R (for strong brutal violence and language throughout, and for brief nudity)",135 minutes,"Mar 3, 2017
                        
 wide"
43,E.T. The Extra-Terrestrial,0.98,"Kids & Family,                                                   Science Fiction & Fantasy",PG,114 minutes,"Jun 11, 1982
                        
 wide"
44,Call Me by Your Name,0.95,"Drama,                                                   Romance","R (for sexual content, nudity and some language)",130 minutes,"Jan 19, 2018
                        
 wide"
45,The Big Sick,0.98,"Comedy,                                                   Romance",R (for language including some sexual references),119 minutes,"Jul 14, 2017
                        
 wide"
46,Incredibles 2,0.94,"Action & Adventure,                                                   Animation,                                                   Kids & Family",PG (for action sequences and some brief mild language),118 minutes,"Jun 15, 2018
                        
 wide"
47,The Favourite,0.93,Drama,"R (for strong sexual content, nudity and language)",119 minutes,"Nov 23, 2018
                        
 limited"
48,Star Wars: The Last Jedi,0.9,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy",PG-13 (for sequences of sci-fi action and violence),152 minutes,"Dec 15, 2017
                        
 wide"
49,King Kong,0.98,"Action & Adventure,                                                   Classics,                                                   Horror",G,103 minutes,"Jan 1, 1933
                        
 wide"
50,Shadow of a Doubt,1.0,"Classics,                                                   Drama,                                                   Mystery & Suspense",PG,108 minutes,"Jan 12, 1943
                        
 wide"
51,The Bride of Frankenstein,1.0,"Classics,                                                   Horror,                                                   Science Fiction & Fantasy,                                                   Special Interest",NR,75 minutes,"Apr 22, 1935
                        
 wide"
52,Paddington 2,1.0,"Animation,                                                   Comedy,                                                   Kids & Family",PG (for some action and mild rude humor),105 minutes,"Jan 12, 2018
                        
 wide"
53,Star Wars: Episode VII - The Force Awakens,0.93,"Action & Adventure,                                                   Science Fiction & Fantasy",PG-13 (for sci-fi action violence),136 minutes,"Dec 18, 2015
                        
 wide"
54,Laura,1.0,"Classics,                                                   Mystery & Suspense",NR,90 minutes,"Oct 11, 1944
                        
 wide"
55,The Adventures of Robin Hood,1.0,"Action & Adventure,                                                   Classics,                                                   Romance",PG,102 minutes,"May 14, 1938
                        
 wide"
56,Gravity,0.96,"Drama,                                                   Science Fiction & Fantasy","PG-13 (for intense perilous sequences, some disturbing images and brief strong language)",91 minutes,"Oct 4, 2013
                        
 wide"
57,Once Upon a Time In Hollywood,0.85,"Comedy,                                                   Drama","R (for language throughout, some strong graphic violence, drug use, and sexual references)",159 minutes,"Jul 26, 2019
                        
 wide"
58,Boyhood,0.97,Drama,"R (for language including sexual references, and for teen drug and alcohol use)",165 minutes,"Jul 11, 2014
                        
 wide"
59,Alien,0.98,"Drama,                                                   Mystery & Suspense,                                                   Science Fiction & Fantasy",R (for sci-fi violence/ gore and language),117 minutes,"May 25, 1979
                        
 limited"
60,Leave No Trace,1.0,Drama,PG (for thematic material throughout),109 minutes,"Jun 29, 2018
                        
 limited"
61,Manchester by the Sea,0.96,Drama,R (for language throughout and some sexual content.),135 minutes,"Dec 16, 2016
                        
 wide"
62,Argo,0.96,"Drama,                                                   Mystery & Suspense",R (for language and some violent images),120 minutes,"Oct 12, 2012
                        
 wide"
